process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,1,0,1,0,0,2,52000,4.55,0.4,0.63,0.29,1.104,0.104,122.167
1,0,0,1,0,0,2,51000,4.84,0.3,0.6,0.56,1.73,1.73,79.59
0,0,1,0,0,1,2,60000,4.5,0.25,1.3,0.1,2.12,0.12,42.23
0,1,0,0,1,0,2,80000,7.875,0.44,1.52,1.08,6.28,6.28,60.17
0,0,1,1,1,0,2,42300,3.8,0.25,1.101,0.22,0.024,0.0146,109.43
0,0,1,0,0,1,2,57980,5.733,0.42,1.993,0.057296319,6.93,6.93,52.88
1,0,1,0,1,0,2,286600,22.4981,1.5196,1.6307,0.28322051,20.56789906,13.54835133,303.297
1,0,1,0,1,0,2,35200,2.76,0.2816,0.2816,4.00E-04,2.526134148,0,62.66
0,1,0,0,0,1,2,29300,2.3,0.4326,0.4326,0.028954504,2.102719618,1.385089651,34.5
0,1,0,0,1,0,2,440900,38.137,3.0863,3.0863,0.435701056,4.21,1,83.946
0,0,0,1,0,0,2,24000,2.8593,0.35,0.35,0.023717,30,30,9.2
1,0,0,0,1,0,2,88000,16.3893,1.27,1.27,0.086962334,0.72,0.72,13.5
1,0,0,0,1,0,2,31000,6.2037,0.56,0.56,0.030634458,13,13,40.8
0,0,0,0,0,0,2,28600,3.2538,0.273,0.273,0.028262758,8,8,9.12
0,1,0,0,0,0,2,24371,9.3135,0.89,1.8,0.1,8.5,8.5,18.5
0,1,0,1,0,1,2,32640,5.9731,0.5451,0.909,0.03225512,2.342415301,1.542980417,110.5
1,0,0,1,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,82.29
0,0,0,0,0,1,2,237804,17.8803,1.55,2.85,0.234999896,107.01,23.78,2.399
0,0,1,0,0,1,2,15000,0.15,0.1365,0.15,0.014823125,1.07647762,0.709090265,266.1
0,0,0,0,1,0,2,50000,4,0.5,0.55,0.049410417,3.588258733,2.363634217,51.03
0,0,0,0,1,1,2,16200,0.243,0.0089,0.036,6.00E-04,1.16259583,0.765817486,1.53
0,0,0,1,0,0,2,6000,0.15,0.037,0.041,0.00592925,3.00E-04,3.00E-04,15
0,0,0,0,0,0,2,1614,0.07,0.005,0.005,0.001594968,0.0064,0.0064,8.04
0,0,1,0,0,0,2,5880,0.194,0.0027,0.0029,0.005810665,0.421979227,0.277963384,1.9
1,1,0,1,0,0,2,97745,13.173,1.76,1.76,0.096592424,7.014686997,4.62066853,168.323
0,0,1,0,1,0,2,6000,0.72,0.135,0.135,0.00592925,0.005,0.005,60
0,0,0,0,1,0,2,10291,1,0.013,0.0143,0.010169652,0.738535412,0.486483194,49.395
1,1,1,0,0,0,2,28010,0.3641,0.1221,0.1343,0.027679716,0.84,0.112,118.824
1,0,1,1,1,0,2,30000,3.69,0.3,0.33,0.02964625,2.15295524,1.41818053,136.525
1,0,0,1,0,0,2,7117,0.0485,0.0012,0.0013,0.007033079,0.510752748,0.336439694,95.98
1,0,0,1,0,0,2,24750,1.98,0.247,0.272,0.024458156,1.776188073,1.169998937,20
1,1,0,1,0,1,2,5228,0.1804,0.0038,0.0166,0.0014,0.1568,0.0209,147
0,1,1,1,1,0,2,62426,7.18,0.0082,0.1479,0.0039,0.242,2.951044592,134.211
0,0,1,0,0,1,2,34300,0.5488,0.0158,0.0158,0.033895546,2.461545491,1.621453073,60.67
0,0,1,0,0,0,2,1650,0.1,0.02,0.02,0.001630544,0.118412538,0.077999929,49.51
0,1,1,0,0,1,2,8924,7.922,1.125,1.125,0.008818771,0.008,0.008,21.7
0,0,0,0,0,0,2,163037,16.146,0.49,0.49,0.161114523,11.70037878,7.707196636,6.7
1,0,1,1,1,1,2,24717,1.8,0.19,0.35,0.03,1.773819822,0,345.7
0,1,0,0,0,0,2,10720,0.145,0.103,0.113,0.010593593,0.769322672,0.506763176,69.29
1,1,1,1,1,0,2,450000,21.504,4.05,4.05,0.444693752,32.2943286,21.27270795,761.178
0,1,0,0,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,7
0,0,0,1,0,0,2,11742,1.1,0.27,0.28,7.00E-04,0.842666681,0.555075859,50.05
0,1,0,0,0,0,2,8250,0.165,0.008,0.08,0.008152719,0.592062691,0.389999646,23.704
0,0,0,0,0,1,2,4368,0.1092,0.0062,0.0062,0.004316494,0.313470283,0.206487085,10.75
1,0,0,1,0,0,2,2.00E+05,21.409,2,2.2,0,0.002,0,220
0,1,0,1,0,1,2,36000,1.05,0.06,0.06,0.0355755,2.583546288,1.701816636,222.66
0,1,1,0,1,1,2,123069,3.485,0.1686,1.0153,0.0135,3.6921,0.4923,820.08
0,0,0,0,0,1,2,10850,0.1736,0.0049,0.0049,0.01072206,0.778652145,0.512908625,0.469
0,0,1,1,0,1,2,14520,0.95,0.1,0.11,0.014348785,1.042030336,0.686399377,151
0,0,0,1,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,19.003
0,1,0,1,0,0,2,93000,21.3023,0.1704,0.1874,0.091903375,39.54,39.2,160
0,0,0,0,0,0,2,13671.87,1.3625,0.1363,0.1363,0.013510656,0.981164138,0.646305995,1.59
1,0,1,0,0,1,2,178000,18.1784,1.169,1.235,0.0053,0.623,8.414537811,30
0,0,0,0,0,0,2,47992,8.5797,0.6839,0.7523,0.047426095,3.444154262,2.268710667,21.987
1,1,1,1,0,1,2,266033,11.1637,0.138,1.01,0.019,6.9975,3.1718,1767.98
0,1,1,0,1,1,2,5748,0.1722,0.0013,0.0013,0.065,0.1284,0.27172339,195.79
0,1,1,1,1,1,2,9445,0.4675,0.0019,0.0019,0.009333628,0.677822075,0.446490504,433.36
0,0,1,0,1,0,2,21477,9.2042,0.3671,0.4038,0.02122375,22.4,22.4,22.24
1,0,0,0,0,0,2,36000,0.8262,0.1188,0.1188,0.0355755,2.583546288,1.701816636,2
0,0,0,0,0,0,2,743400,59.1092,1.4868,1.4868,0.734634078,53.35023084,35.14251353,0.3
0,1,0,0,0,0,2,790650,59.7221,1.5813,1.5813,0.781326922,56.74113535,37.37614787,0.3
0,0,0,1,0,0,2,2249,0.225,0.016,0.016,0.002222481,0.161399878,0.106316267,3.713
1,0,0,1,0,1,2,7289.7,0.9901,0.0507,0.0507,0.007203742,0.523146594,0.344603687,222.815
0,0,0,0,0,1,2,806400,57.4713,1.6128,1.6128,0.796891204,57.87143685,38.12069265,0.3
0,0,0,0,1,1,2,5700,0.1325,0.004,0.004,0.005632788,0.409061496,0.269454301,1
1,1,1,1,1,0,2,19560,1.983,0.3966,0.3966,0.019329355,1.403726816,0.924653706,446.95
0,0,1,0,1,1,2,104922,19.1117,1.746,1.9206,0.103684795,11.546,7.565,300
0,1,1,1,1,1,2,103916,47.3408,5.9659,5.9659,0.102690658,164,164,607.24
0,1,0,0,0,0,2,2600,0.6504,0.065,0.065,0.002569342,0.186589454,0.122908979,0.23
1,1,0,0,0,0,2,15583,1.559,0.1559,0.1559,0.015399251,1.118316717,0.73665024,25.729
0,0,0,0,0,0,2,20790,0.6029,0.0416,0.0416,0.020544851,1.491997981,0.982799107,6.428
1,1,1,0,1,0,2,230000,33.4155,0.0434,0.0477,0.227287918,1.7115,1.6512,1506.8
1,0,0,0,0,0,2,16006,2.8531,0.2323,0.2323,0.015817263,1.148673386,0.756646585,8.722
0,0,1,0,0,0,2,183003,19.2412,1.9,1.9,0.18084509,143.28,1.5,10.366
1,0,0,1,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,24.8
0,1,0,1,1,1,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,352.256
0,0,0,0,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,0.4
1,1,0,1,0,0,2,5092,0.127,0.01,0.011,0.005031957,0,0.240712509,15.28
0,0,1,0,0,0,2,20365,0.265,0.25,0.25,0.020124863,1.461497782,0.962708216,24.1
0,1,0,0,0,0,3,35640,1.001,0.101,0.368,0.003,0.693,0.217,1
0,1,0,1,0,1,3,12690,0.168,0.0052,0.0057,0.0012,0.5006,0.2397,146.37
1,0,0,1,0,0,3,60756,1.2181,0.182,0.2,0.060039586,12.6,1.176,44.76
0,0,0,0,0,1,3,38200,2.65,0.11,0.19,0.037749559,9.4296,0.4911,79.71
1,0,0,0,0,0,3,19760,0.246,0.053,0.0583,0.019526997,1.418079851,0.934108242,8
1,0,0,0,0,0,3,108640,11.425,0.7788,0.8566,0.107358954,1.7856,0.627,5.25
1,0,0,0,0,0,3,11800,1,0.031,0.0341,0.011660858,0.5148,0.4614,6
0,1,0,0,0,0,3,28967,5.1286,0.4353,0.5224,0.028625431,2.078821814,1.369347847,4.6
1,0,1,0,1,0,3,1288,0.019,0.002,0.0022,0.013,0.18,0.005,40.927
0,0,0,1,0,0,3,18500,5.3482,0.130397546,0.176271984,0.018281854,10.15,10.15,3.4
1,0,0,0,0,0,3,4895,0.975,0.034502486,0.046640614,0.00483728,0.035,0.035,15.24
0,0,0,0,0,0,3,21317.4,6.9,0.150256035,0.203116778,0.021066032,0.023,0.023,8
0,0,0,0,0,1,3,7855,2.6179,2.00E-04,2.00E-04,0.007762376,0.1833,0.371326935,5
0,1,0,1,0,0,3,25926.075,0.7363,0.182740355,0.247029226,0.025620363,1.860589301,1.225595159,20
1,1,1,1,0,0,3,346374,11.459,2.441422682,3.300326071,0.342289675,24.85759061,16.37402876,387.828
0,0,0,0,0,0,3,17060.4,0.44,0.120250502,0.162555166,0.01685923,1.224342586,0.806490904,40.51
0,1,0,0,0,0,3,25000,1.0875,0.0235,0.0592,7.00E-04,1.05,1.05,31.135
0,1,1,0,0,1,3,27803,2.8037,0.04,0.045,0.027475156,0.26,0.12,120.1
0,0,0,1,1,1,3,27362,0.319,0.002,0.0022,0.0015,0.119,0.119,123.98
0,0,1,0,0,0,3,16732,5.2961,0.002,0.004,0.016534702,0.335,0.154,6
0,1,1,1,0,1,3,110415,36.24,0.0088,0.0097,0.109113024,2.208,2.208,144.56
0,0,1,0,0,0,3,94626,2.325,0.186,0.2046,0.093510202,1.051,0.421,86.29
0,0,0,0,0,1,3,1.00E+05,3,0.247,0.2717,0.098820834,0.4,0.4,202.29
0,0,1,1,1,1,3,88416,5.24,0.7,0.77,0.087373428,0.353,0.353,490
1,1,1,1,0,0,3,60500,2.637,0.484,0.5324,0.059786604,0.242,0.242,486
0,1,0,1,1,0,3,69730,4,0.1,0.1,0.068907767,24.4,11.65,114.62
0,0,0,1,0,1,3,10350,1.19,0.05,0.05,0.010227956,0.62,0.56,39.73
0,0,0,0,0,0,3,173050,5.01,0.87,0.9,0.03,12.41896348,8.180538024,5.159
0,0,0,0,1,0,3,63000,5.34,0.252,0.378,0.062257125,4.521206004,2.978179113,10
0,1,0,1,0,0,3,6800,0.2,0.017,0.017,0.006719817,0.001,0.001,18
0,1,0,0,1,0,3,21120,0.66,0.05,0.05,0.02087096,1.00E-04,0.998399093,60.42
0,1,0,0,0,0,3,11905,0.94,0.08,0.08,0.01176462,0.854364404,0.562781307,33.2
0,1,0,0,0,0,3,15040,0.4243,0.0466,0.0513,0.014862653,0.602,0.06,7.82
1,0,0,0,0,0,3,28620,2.26,0.27,0.27,3.00E-04,0.01,1.352944226,17.32
0,0,0,1,0,0,3,28981,2.29,0.28,0.28,0.16,2.079826527,1.370009665,32.81
1,0,1,0,0,0,3,28500,2.25,0.28,0.28,0.0012,2.045307478,1.347271504,26.75
0,0,0,0,0,0,3,3100,0.093,0.0085,0.0085,0.0016,0.222472041,0.146545321,0.3
0,1,0,0,1,0,3,6157,0.49,0.04,0.04,0.009,0.138,0.291057917,11
0,0,0,1,0,1,3,37519,2.96,0.15,0.15,0.051,3.38,1.3,25
1,0,0,1,0,0,3,16751,1.32,0.16,0.16,1.00E-04,0,0,11.279
0,0,1,0,0,1,3,16354,1.29,0.12,0.12,0.016161159,1.173647666,0.77309748,21.5
1,0,1,0,1,0,3,34392,2.72,0.06,0.06,0,0,0,78.89
0,1,0,0,1,0,3,24800,0.7,0.06,0.066,0.02,1.779776332,1.172362571,79.57
0,0,1,1,0,0,3,45335,3.58,0.1,0.1,0.044800425,0.83,2.143107144,88
0,1,0,1,0,0,3,20804,1.64,0.02,0.02,0.02,0,0,15
0,0,1,0,1,0,3,21646,1.71,0.04,0.04,0.021390758,6.25,0.89,10
1,1,0,1,0,1,3,13108,1.04,0.11,0.11,0.012953435,0.940697909,0.619650346,207
0,0,0,0,0,0,3,27658,2.19,0.22,0.22,0.0013,1.984881201,1.307467903,1.6
0,0,0,0,1,0,3,22968,1.81,0.22,0.22,0.022697169,1.648302532,1.085759014,10
1,0,1,1,0,0,3,6891,0.54,0.01,0.01,0.0022,0.494533819,0.325756068,172.72
1,0,1,0,1,0,3,28139,2.22,0.05,0.05,0.03,2.01940025,1.330206064,328.75
0,1,0,0,1,0,3,28380,2.24,0.24,0.24,0.028045353,2.036695657,1.341598781,72
0,1,0,0,0,0,3,4930,0.39,0.04,0.04,0.004871867,0.353802311,0.233054334,10
1,0,0,0,1,0,3,17797,1.41,0.06,0.06,0.017587144,1.277204813,0.841311963,21.8
1,0,1,0,0,1,3,36000,0.96,0.075,0.0825,0.0355755,2.583546288,1.701816636,71.96
0,1,0,0,1,1,3,56880,4.49,0.43,0.43,0.0016,1.55,2.688870285,164.28
1,1,0,1,0,0,3,35956,2.84,0.06,0.06,0.012,6.39,1.47,132
1,0,0,1,0,0,3,20203,1.6,0.05,0.05,0,0,0,59.75
1,0,1,0,1,0,3,6882,0.54,0.04,0.04,0.005,0.493887932,0.325330614,130.99
0,0,0,0,1,1,3,54956,4.34,0.08,0.08,0,0.807,0.807,43.5
1,1,0,1,1,0,3,87376,6.9,0.64,0.64,0.003,0.472,0.094,273.385
0,1,0,0,0,1,3,17184,1.36,0.02,0.02,0,0,0,28.5
0,0,1,0,1,0,3,3200,0.09,0.007,0.007,0.003162267,0.229648559,0.15127259,12.35
1,1,1,0,0,0,3,82591,6.52,0.52,0.52,0,0,0,122.39
0,1,0,0,0,1,3,84485,6.67,0.57,0.57,0.083488781,6.063080781,3.993832736,19.15
0,1,0,1,0,1,3,59525,4.7,0.28,0.28,0,0,0,133.83
0,0,0,1,0,0,3,26095,2.06,0.05,0.05,0.025787297,1.872712233,1.233580698,0.51
0,0,0,1,1,1,3,26095,2.06,0.04,0.04,0,0,0,112.86
1,0,0,0,1,0,3,27057,2.14,0.06,0.06,0.026737953,1.941750331,1.27905702,60.4
1,1,0,0,1,1,3,85103,6.72,0.2,0.2,0.031,0,0,255.78
1,0,1,0,0,1,3,33070,2.61,0.15,0.15,5.00E-04,0.02,1.563307671,125.83
0,0,0,0,1,0,3,2000,0.05,0.004,0.004,0.001976417,0.143530349,0.094545369,0.5
