process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,0,1,0,0,4,32500,2.6,0.185022981,0.257964504,0.015317389,8.97,8.97,44.1
1,0,0,0,0,1,3,25000,2,0.112244581,0.274025178,0.056228759,9.165413036,5.953400272,357.7
0,0,1,0,0,0,3,28276,2,0.126953111,0.309933438,0.063596976,10.36644876,6.733533844,5.2
0,1,0,0,0,0,3,10000,0.45,0.044897832,0.109610071,0.022491504,3.666165214,2.381360109,49.8
1,0,0,0,0,0,3,1150,0.046,0.005163251,0.012605158,0.002586523,0.421609,0.273856413,58.2
0,0,0,1,0,0,3,10350,1.23,0.05,0.05,0.023278706,1.08,1.08,15.7
1,0,1,0,0,0,3,6200,0.31,0,0,0.013944732,3.8,3.8,26.1
1,0,1,0,0,0,3,8400,0.35,0.01,0.01,0.018892863,0.004,0.004,65.15
0,0,0,0,0,0,3,40000,2,0.02,0.02,0.089966014,2.56,2.56,35.37
1,0,1,0,1,0,3,2208,0.32,0.01,0.01,0.004966124,0.89,0.89,23.9
1,0,0,0,0,0,3,11120,0.88,0.06,0.06,0.025010552,1.23,1.23,36.9
0,1,0,1,0,0,3,23284,2.44,0.12,0.12,0.052369217,2.328,2.328,14.6
0,1,1,0,0,0,3,44430,6.42,0,0,0.09992975,16.28877205,10.58038296,26.5
0,0,1,0,0,1,3,50000,2.5,0.25,0.25,0.112457518,6.56,6.56,5
0,0,0,1,1,0,3,7510,0.92,0.03,0.03,0.016891119,0.757,0.757,103
0,1,0,0,1,0,3,27000,0.27,0.01,0.01,0.06072706,2.42,2.42,88.84
1,1,0,0,1,0,3,45000,2.28,0.05,0.05,0.101211766,0.003,0.002,14.82
0,0,0,1,0,1,3,24000,1.8,0.07,0.07,0.053979609,0.384,0.384,28.2
0,1,1,0,0,1,3,9500,0.76,0,0,0.021366928,0.005,0.005,105
1,0,0,0,0,0,3,11000,0.88,0,0,0.024740654,8.19,8.19,44.5
0,1,0,0,0,0,3,17500,1.4,0.01,0.01,0.039360131,0,0,10
0,0,1,0,0,0,3,6875,0.55,0.02,0.02,0.015462909,0.005,0.005,54
0,0,0,0,0,1,3,25000,1.25,0.125,0.125,0.056228759,4.66,4.66,52
1,0,0,1,1,0,3,21250,1.7,0.095407894,0.232921402,0.047794445,3,3,332
1,1,1,0,0,1,2,25691,3.7,0.146997052,0.288787516,0.023534813,7.6,7.6,385.8
0,1,0,1,1,1,3,50000,4,0.224489162,0.548050357,0.112457518,15.4,15.4,139.5
0,0,1,0,1,1,3,49625,3.97,0.222805494,0.543939979,0.111614087,16.2,16.2,23
1,0,1,1,1,0,3,28750,2.3,0.129081268,0.315128955,0.064663073,2.66,2.66,122
1,1,0,1,0,1,3,54000,4.32,0.242448295,0.591894385,0.121454119,16,16,106
1,0,1,0,1,1,3,21000,1.68,0.094285448,0.23018115,0.047232158,0.004,0.004,116
1,0,0,0,1,0,3,25500,2.04,0.114489473,0.279505682,0.057353334,9.348721297,6.072468277,44
1,0,0,0,0,0,3,11000,1,0.049387616,0.120571078,0.024740654,3.54,3.54,3.61
0,0,1,0,1,0,3,90500,2.715,0.406325384,0.991971146,0.203548107,33.17879519,21.55130898,55.6
0,0,1,1,0,0,3,12500,1,0.056122291,0.137012589,0.028114379,0.034,0.034,3.2
0,0,1,0,0,0,3,18750,1.5,0.084183436,0.205518884,0.042171569,0.003,0.003,146
0,0,1,1,1,0,3,12500,1,0.056122291,0.137012589,0.028114379,0.003,0.003,111
0,1,0,0,0,1,3,28750,2.3,0.129081268,0.315128955,0.064663073,10.47,10.47,164
0,1,1,0,1,0,3,28125,2.25,0.126275154,0.308278326,0.063257354,0.008,0.008,16
0,0,0,1,0,0,3,15000,1.2,0.067346749,0.164415107,0.033737255,0.004,0.004,32
0,1,0,0,1,0,3,11100,1.6,0.049836594,0.121667179,0.024965569,3,3,52
0,1,0,0,0,0,3,53750,4.3,0.241325849,0.589154134,0.120891832,1.39,1.39,10
0,1,0,1,1,0,2,32875,2.63,0.188101985,0.369541457,0.030115877,6.88072384,1.961993299,45
0,0,0,0,1,0,3,45000,3.6,0.202040246,0.493245321,0.101211766,0.02,0.02,19.2
0,0,1,0,0,0,3,45500,3.64,0.204285138,0.498725825,0.102336341,0.07,0.07,35
0,0,0,0,1,0,3,38000,5.4,0.170611763,0.416518271,0.085467714,13.93142782,9.049168413,50
0,1,0,0,0,0,3,34250,2.74,0.153775076,0.375414494,0.0770334,9,9,30
1,0,0,1,0,1,3,6800,0.3,0.013,0.013,0.015294222,0.2,0.2,83.2
0,0,0,1,0,1,3,25000,2,0.02,0.02,0.056228759,0.01,0.01,206.8
0,0,1,0,0,1,2,24000,0.94,0,0,0.021985735,0.02,0.02,120
0,0,0,1,0,1,3,1088,0.04,0.004884884,0.011925576,0.002447076,0.398878775,0.25909198,0.6
0,0,0,0,1,1,3,8900,0.54,0,0.097552964,0.020017438,0,0,10.77
0,1,0,0,0,0,3,18000,1.04,0.080816098,0.197298128,0.040484706,0.003,0.003,12.3
1,0,0,0,1,0,3,1600,0.11,0.007183653,0.017537611,0.003598641,4,1,9
1,0,1,0,0,0,3,36000,2,0.161632197,0.394596257,0.080969413,1,1,12.8
