"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"729","1","0","1","0","1","0","3",42000,3.408,0.042,0.0462,0.269803211,0.32,0.32,36
"473","0","0","0","0","0","0","3",31080,0.3886,1.1827,1.7078,0.0113,2.2378,0,2.82
"701","0","1","0","0","0","1","3",48000,1.2,0.09,0.099,0.308346527,9.194185214,5.97266902,5
"878","0","0","0","0","0","0","4",2146,0.31,0.01,0.01,0.006,0.1813,0.064196748,10
"513","1","0","0","0","1","0","3",13820,0.618,0.059,0.081,0.008,0.035,0.023,17.143
"482","1","0","0","0","1","0","3",41809.58695,2.685226166,0.237770614,0.33756199,0.045386929,1.33818485,0.33314522,21.34
"845","1","0","0","0","0","0","4",2693,0.12,0.011,0.016,0.002,0,0,4.347
"225","0","0","0","0","0","0","3",21317.4,6.9,0.150256035,0.203116778,0.021066032,0.023,0.023,8
"109","1","0","1","0","0","1","2",100926,10.8949,0.25,1.23,0.017,1.01,0.403,11.275
"245","0","1","0","0","0","0","3",11905,0.94,0.08,0.08,0.01176462,0.854364404,0.562781307,33.2
"73","0","0","1","0","0","0","2",7000,0.2464,0.0469,0.1646,0.006917458,0.502356223,0.33090879,44.62
"345","0","1","0","0","0","0","3",1600,0.088,0.004,0.0044,0.0017369,0.051210641,0.012749046,2.9
"815","0","0","0","0","0","0","4",8658,0.68,0.06,0.06,0.047404134,0.703398315,0.259000671,10
"525","1","1","0","0","0","0","3",21877,0.978,0.093,0.128,0.013,0,0,33.258
"857","1","0","1","0","0","0","4",33315,1.49,0.142,0.196,0.02,0.083,0.057,47.143
"901","0","0","1","0","1","0","4",5629.274839,1.715624635,0.666030654,1.183476334,0.054004873,1.841216885,1.119080871,9.28
"333","0","0","0","1","0","0","3",4000,0.13,0.016,0.016,0.004342251,0.128026603,0.031872615,0.5
"643","0","1","0","0","1","0","3",27000,2.3,0.13,0.4001,0.173444921,0.56,0.56,34.05
"921","1","1","0","0","1","0","4",5190,0.52,0.052,0.0572,0.049790657,1.697539364,1.031754513,0.9
"280","0","0","0","1","0","0","3",26095,2.06,0.05,0.05,0.025787297,1.872712233,1.233580698,0.51
"371","1","0","1","0","1","0","3",23449,1.85,0.08,0.08,0,0,0,56.2
"889","0","0","0","1","0","0","4",3200,0.23,0.0187,0.0204,7e-04,0.25,0.25,5
"654","0","0","1","0","1","0","3",16323.53,1.2741,0.1667,0.1667,5e-04,3.126699128,2.031146707,72.77
"146","1","0","0","0","1","0","2",88000,16.3893,1.27,1.27,0.086962334,0.72,0.72,13.5
"186","0","0","0","0","0","0","2",13671.87,1.3625,0.1363,0.1363,0.013510656,0.981164138,0.646305995,1.59
"655","0","0","0","0","1","0","3",8950,0.7021,0.0863,0.3105,1e-04,0.021,0.019,46.58
"188","0","0","0","0","0","0","2",47992,8.5797,0.6839,0.7523,0.047426095,3.444154262,2.268710667,21.987
"343","0","1","0","0","1","0","3",38926,3.08,0.23,0.23,0.016,2.268,0.310168356,51.39
"552","0","1","0","0","0","1","3",41471.3,4.864,0.331,0.35,0.003,0.58,0.16,28.5
"668","0","1","0","0","0","1","3",28400,1.54,0.114,0.114,0.182438362,0.682,0.682,48
"278","0","1","0","0","0","1","3",84485,6.67,0.57,0.57,0.083488781,6.063080781,3.993832736,19.15
"566","1","0","0","0","0","0","3",76564,4.686,0.53,1.317,0.028,0.766,0.613,1.58
"223","0","0","0","1","0","0","3",18500,5.3482,0.130397546,0.176271984,0.018281854,10.15,10.15,3.4
"861","1","0","0","1","0","0","4",19260,0.861,0.082,0.113,0.012,0.048,0.033,29.782
"853","0","0","0","1","1","0","4",16087,0.719,0.068,0.094,0.01,0.04,0.027,33.932
"570","0","0","0","0","0","0","3",51628,6.2744,0.129,0.629,0.008,0.51,0.21,3.593
"806","0","1","0","1","0","0","4",38637,3.05,0.3,0.3,0.211544645,0.93,0.93,52
"546","0","1","0","1","0","1","3",90000,8.73,0.562,0.63,0.01,2.7,0.36,67.5
"841","0","0","0","0","1","0","4",3172,0.142,0.013,0.019,0.002,0,0,5.057
"531","1","0","1","0","1","0","3",35350,3.498,0.229,0.32,0.009,0.35,0.14,32
"839","0","1","0","0","1","0","4",13866,0.62,0.059,0.081,0.008,0.035,0.024,21.328
"767","0","1","0","0","0","0","3",29173,5.1734,0.002,0.019,0.972,0.2172,0.2172,0.5
"712","1","0","0","1","0","0","3",4200,0.035,0.45,0.495,0.026980321,0.804491206,0.522608539,51.5
"373","0","0","0","0","1","0","3",5382,0.1953,0.0506,0.0557,0.005842499,0.172259795,0.042884604,36
"365","1","0","1","0","0","1","3",23329,1.84,0.17,0.17,0.0042,2.1151,1.0575,53.3
"912","1","0","0","0","0","0","4",432.5,0.0433,0.0043,0.0047,0.004149221,0.141461614,0.085979543,0.5
"704","0","1","0","1","0","0","3",32000,1.69,0.006,0.0066,0.205564351,6.129456809,3.981779347,21.32
"303","1","0","0","0","1","0","3",41848,3.31,0.14,0.14,0.041354543,3.003229029,1.978267294,74.9
"634","1","0","1","0","1","0","3",23500,1.94,0.14,0.65,0.96,11.6,11.6,28.89
"347","1","0","1","0","0","0","3",17437,1.38,0.04,0.04,0.018928957,0.55809997,0.138940698,13.8
"490","0","1","0","1","0","0","3",150000,8,0.5,1.04,0.02,0,0,18.19
"313","1","0","0","0","1","0","3",21285,1.68,0.07,0.07,0.021034014,1.527521743,1.006199086,50
"130","0","0","0","1","0","0","2",30000,2.5,0.09,0.1,0.05,2.06,0.06,32.523
"596","1","0","0","1","0","0","3",1e+05,3.9576,0.315,0.346,0,0.4,0.4,5.09
"508","0","0","0","1","0","0","3",30310,1.313,0.14,0.196,0.048,0.082,0.055,24.878
"650","0","0","0","1","0","0","3",11000,0.868,0.082,0.3635,0.070662746,5.56,0.346,5.53
"793","0","0","0","0","1","1","3",17320.3096,3.150392885,0.205496401,0.252753807,0.094831865,1.407146754,0.518130262,24.37
"683","0","0","0","0","1","0","3",29700,22.228,0.689,1.604,0.190789414,28.33,26.908,1.53
"340","1","1","0","1","0","0","3",24051,1.9,0.1,0.1,0.026108869,0.769791959,0.191642067,56
"595","0","0","1","0","0","0","3",71660,8.0036,0.205,0.225,0,0.1476,0.1146,9.34
"873","0","0","0","1","0","1","4",23171,3.3,0.34,0.34,0.02,0.05,0.0211,51.77
"14","0","0","1","0","1","0","2",7600,0.155,0.006,0.0066,0.007510383,0.007,0.002,41
"610","1","0","0","1","0","0","3",42076,6.3,0.3,0.3,0.09,0.6872,0.1335,11.53
"316","0","0","1","0","0","1","3",35475,2.8,0.34,0.34,0.0014,0,0,38.61
"625","0","0","1","1","0","0","3",40900,3.8,0.18,0.661,0.262736937,7.834211984,5.089211728,25.75
"254","0","0","1","0","0","1","3",16354,1.29,0.12,0.12,0.016161159,1.173647666,0.77309748,21.5
"779","0","0","0","0","1","0","3",1687.2,0.3028,0.0215,0.0215,0.009237729,0.137072492,0.050471926,4.998
