process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,1,0,0,1,3,15000,0.558,0.0975,0.1625,0.212017307,10.72,0.105,185.82
0,1,0,1,0,0,3,4500,0.24,0.01,0.03,0.063605192,7.58,0.039,40.5
0,1,0,1,1,1,3,6735,0.2455,0.0429,0.0715,0.095195771,0.64,0.484272586,115.63
0,0,1,0,0,0,3,21400,2.1,0.26949958,0.625489799,0.302478025,30.38797981,1.538742886,2.219
1,0,0,0,0,1,3,31200,1.1606,0.2028,0.338,0.440995999,3.12,0.75,27
0,0,0,1,1,1,3,26330,1.156,0.0572,0.095,0.372161047,0.037,0.01,53.851
1,0,0,1,0,0,3,10300,1,0.129712415,0.301053501,0.145585218,4.59,0.740609894,6.799
0,1,0,0,0,1,3,30000,1.2276,0.2145,0.3575,0.424034614,1.5,0.03,58.8
0,0,0,0,1,0,3,15000,1.2,0.188901575,0.438427429,0.212017307,6.68,1.078558098,18.155
1,0,0,0,1,0,3,8080,0.22,0.101754982,0.236166242,0.114206656,1,0.580983295,1.97
0,1,0,0,1,0,2,11000,0.34,0.03,0.05,0.155613061,21.4,1.37,13
0,1,0,0,0,0,4,1050,0.1462,0.0016,0.0016,0.000301359,0.3375,0.3375,0.05
0,0,1,0,0,0,4,2000,0.3532,0.0015,0.0015,0.000574018,1.0872,1.0872,1.8
0,1,0,0,0,0,4,9200,2,0.05,0.1,0.002640481,0.051,0.051,9.7
1,0,1,1,0,0,3,1550,0.084,0.019519829,0.045304168,0.021908455,0.01,0.111451003,0.43
0,1,0,0,1,0,2,6375,1.3,0.101291775,0.124249184,0.090184842,1.28,1.28,0.04
1,0,1,1,0,0,4,2268,0.328,0.014866253,0.027398675,0.000650936,0.018,0.018,0.273
0,0,0,0,1,0,3,80,0.0078,5.00E-04,0.0012,5.00E-04,0.113599925,0.00575231,1.2
0,1,0,1,0,0,3,120,0.0058,3.00E-04,0.0085,0.001696138,0.170399887,0.008628465,660.82
1,0,0,0,0,0,3,32,0.0018,1.00E-04,0.001,3.00E-04,0.04543997,0.002300924,0.13
0,0,0,0,1,0,3,40,0.0035,1.00E-04,8.00E-04,1.00E-04,0.056799962,0.002876155,0.92
1,0,0,0,0,0,3,52,0.0044,1.00E-04,0.02,0.005,0.073839951,0.003739001,0.128
