process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,1,0,0,1,0,3,176000,8.49,0.790201851,1.929137256,0.395850463,33.7,33.7,43
0,0,0,0,0,0,3,3600,0.16,0.014,0.014,0.008096941,1.319819477,0.857289639,3
0,1,0,0,0,0,3,5269,0.2634,0.0263,0.079,0.0026,37.3852,3.9082,0.492
1,0,0,1,0,1,3,30000,0.885,0.0144,0.199,0.0357,0.15,0.069,18.4
0,0,0,0,0,0,3,11549,0.5774,0.0577,0.1732,0.0057,10.6,3.3,0.28
0,1,0,0,0,0,3,6000,0.174,0.0022,0.04,0.0049,0.024,0.014,8
0,1,0,0,0,0,3,285,0.01,0.001,0.001,0.000641008,0.104485709,0.067868763,0.36
0,0,0,0,1,1,3,3.00E+05,23.1915,0.4599,0.46,1.1415,109.9849564,71.44080326,22.3
0,1,1,0,0,0,3,4800,0.1051,0.0034,0.0363,6.00E-04,1.759759303,1.143052852,5
1,0,0,0,1,0,3,25826,2.066,0.3873,0.5165,0.0258,25.826,5.1652,13.081
0,0,1,0,0,1,3,4500,0.3,0.01,0.01,0.010121177,0.8,0.8,0.5
0,0,0,0,1,0,3,174800,5.902,0.42,0.42,0.08,6.5,6,16.8
0,0,0,1,0,1,3,95000,53.25,0.325,1.37,0.047,34.82856954,22.62292103,23
0,0,0,0,0,0,3,600,0.03,0.0012,0.0025,2.00E-04,0.0016,0.0016,0.35
1,0,0,1,0,1,3,70000,8,0.272,0.272,0.157440525,25.6631565,16.66952076,19.55
0,1,1,0,0,0,3,44430,6.42,0,0,0.09992975,16.28877205,10.58038296,26.5
1,0,0,0,0,0,3,1150,0.046,0.005163251,0.012605158,0.002586523,0.421609,0.273856413,58.2
1,0,0,0,0,0,3,800,0.016,1.00E-04,0.011,7.00E-04,0.0084,0.005,0.8
1,0,1,0,1,0,3,46000,2.3,0.368,1.02,0.023,16.86435999,10.9542565,24.5
0,1,0,1,0,0,3,17000,0.568,0.0102,0.125,0.0166,0.0956,0.065,10
0,0,0,0,0,0,3,16316,0.8158,0.0815,0.2447,0.0081,9.8,1.78,1.2
1,0,0,0,1,0,4,1000,2.5,0.005693015,0.007937369,0.000471304,0.192228121,0.126688011,3.3
0,0,1,0,0,0,3,28276,2,0.126953111,0.309933438,0.063596976,10.36644876,6.733533844,5.2
0,1,0,0,0,0,3,54308,7.85,0,0.595270376,0.122146858,26.15,26.15,20.51
0,0,1,0,1,0,3,9730,0.49,0.098,0.1,0.021884233,0.05,0.001,10.4
0,0,1,0,0,1,3,27500,2.2,0.001,0.001,0.061851635,2.18,2.18,20
