"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"46","1","1","0","0","1","0","3",44000,1.8876,0.1052,0.1052,0.026646639,35,12,13.38
"181","0","1","0","1","0","1","4",185000,3.68,0.23,0.24,0.11,0.342592593,0.342592593,13.43
"55","0","1","1","0","1","0","3",8248.1,0.45,0.033,0.04,0.004995094,0.034,0.019,14.079
"40","1","1","1","0","0","0","3",78671,3.9335,0.3934,1.1802,0.0786,5.5,1.92,37.058
"43","1","1","0","1","0","0","2",76150,4.11,0.57,0.67,0.046116854,63.70420521,57.73181164,49.6
"38","1","1","0","1","0","0","2",44285,1.35,0.17,0.22,0.026819237,37.04715335,33.57391042,55.315
"42","1","1","1","0","0","0","3",168000,8.4,0.84,2.05,0.101741713,47.96,11.59,63.935
"89","1","1","0","1","0","0","3",280000,13.1,0.56,2,0.134531398,30.67394768,32.30833225,65.698
"93","0","1","1","0","0","1","2",37123.7,1.83873963,0.176821588,0.451655133,0.022482315,0,28.1446941,75.732
"251","1","1","0","1","0","1","3",37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,77.85
"122","1","0","0","1","0","1","2",7344,0.29,0.26,0.26,0.004447566,8.82,4.62,81.475
"84","1","1","0","0","0","1","3",12000,0.42,0.036,0.084,0.0048,0.2713,0.0543,114.16
"41","1","1","0","0","1","0","3",23770,1.19,0.185,0.289,0.014395241,2.622,0.435,123.993
"341","1","1","0","0","1","1","3",126650,7.6,0.76,0.76,0.076699928,67.5,15,137.193
"52","1","1","1","0","0","1","3",37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,200
"39","1","1","0","1","0","0","3",225527,11.2763,1.1276,3.3828,0.2255,8.2,3.1,202.723
"48","1","1","0","1","0","0","3",110900,3.34,0.42,0.503,0.0047,34.78,8.97,479
"45","1","1","0","0","1","1","3",37800,1.6216,0.0903,0.0903,0.022891885,26,5.67,557.22
"113","1","1","1","0","1","1","2",1200,0.06,0.006,0.015,0.000726727,1.00387454,0.909759343,825.85
"132","1","1","0","0","1","1","2",136220,16.31,0.86,2.59,0.0045,17.7,1.2,3540.158
