process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,0,0,0,0,3,13500,0.486,0.0257,0.0257,0.066480296,2.715593022,0.760777222,0.73
0,1,1,0,0,1,3,50000,5,0.5,0.5,0.051443368,1.8,1.8,135.35
1,0,1,0,0,0,3,9000,0.32,0.0085,0.0085,0.044320197,1.810395348,0.507184814,50.8
0,0,0,1,0,1,3,29000,1.259,0.058,0.339,0.004,0.068,0.068,200
1,1,0,0,1,1,3,150000,9,1.1,1.1,0.1,35,15.1,401
1,1,0,0,1,0,3,121345.783,14.9412,2.3271,3.5802,0.2111,65.513,13.042,184.58
1,1,0,1,0,1,3,90639,9.7,0.012,0.012,0.303230246,20.59690633,6.828497254,2
0,1,0,1,0,1,3,100561,4.3698,0.09,1.265,0.033,0.79,0.6946,280
1,0,0,1,0,0,3,36000,1.5452,0.134,0.2237,0.03658007,29,25,114.44
1,0,1,0,0,0,3,33200,4.7226,0.7355,1.1316,0.0667,20.7072,4.1224,177.26
0,0,1,0,0,0,4,12230,2.02,0.305,0.458,0,0,0,0.6
1,0,1,0,0,1,3,31310,2.56,0.009,0.009,0.001,14.785,6.744,278.01
0,0,0,1,0,1,3,2200,0.065,0.004,0.012,0,0.369352113,0.260389673,429.04
1,1,1,0,0,1,3,80500,2.35,0.92124404,2.062188758,0.396419542,2.92,2.92,323.03
1,0,1,1,0,1,3,3500,0.3098,0.0115,0.0449,6.00E-04,0.704042635,0.197238539,10.4
1,1,1,1,0,1,3,52171,5.01,0.678,0.92,0.053011634,8.75884958,6.174904368,350.06
0,0,0,0,0,0,3,4800,0.48,0.0012,0.0042,0.038,0,0,4.41
1,0,1,0,1,0,3,11000,1.2398,0.033,0.037,0.0151,8.56,0.58,280
1,0,0,0,1,1,3,36455,1.35,0.15,0.457,6.00E-04,7.68,0.15,187.569
1,1,0,1,1,0,2,120000,10.5,1.2,1.2,0.590935964,24.13860464,6.762464192,1.3
1,0,1,1,0,0,3,39078.15,4.738,0.0586,0.1249,0.0831,37,10,330.185
0,0,0,0,0,0,3,17643,1.406,0.035,0.035,0.017927283,2.962036057,2.088206815,7.01
1,0,0,1,0,0,3,40787,2.39,0.07,0.224,0.20085421,8.204510562,2.298505225,41.98
1,1,0,0,0,0,2,77100,11.8,0.007,0.007,0.379676357,15.50905348,4.344883243,4.5
0,1,0,1,0,0,3,35000,3.5,0.53,0.7,0.018,0.14,0.14,150
0,1,0,1,0,0,3,25500,6.38,0,0.53,0.59,2.55,0,45.31
0,1,0,1,0,1,3,27500,1.18,0.006,0.006,0.0044,0.69,0.525,261.67
1,0,0,0,0,0,3,46522.69,3.742823956,0.532406844,1.191783457,0.229099422,9.358273506,2.621733544,257.98
1,0,0,0,0,1,3,55413,4.7329,0.82,1.374,0.272879455,11.14660416,3.122736902,190
1,0,1,0,0,1,3,44100,1.923,0.26,0.26,0.0035,11.025,5.128,380.842
0,0,0,0,0,0,3,14000,0.29,0.068661386,0.19190972,0.014225583,2.350422536,1.657025189,3
1,0,0,1,0,0,3,88000,6,1.1,1.3,0.090540327,2,2,91.2
1,1,0,1,0,1,4,21660,1.213,0.01,0.03,0.0117,2.8,2.8,412.74
0,1,0,0,0,0,3,10200,0.49,0.021,0.021,0,1.02,0.48,45.95
1,1,1,0,0,0,3,50459,3.5724,0.469,1.9376,0.16,15.7,2.951,150.957
1,0,1,0,0,1,2,7920,0.27,0.02,0.05,0.039001774,1.593147906,0.446322637,30
0,0,1,0,1,1,3,71500,3.103,0.143,0.837,0.009,0.15,0.15,415.93
0,0,0,0,1,1,3,19000,1.29,0.2014,0.216,0.018,0.133,0.019,135.81
1,1,1,0,0,0,2,16000,1.44,0.064,0.064,0.078791462,3.218480619,0.901661892,212
1,0,1,0,0,0,3,37500,1.8,0.076,0.076,0,3.75,1.8,65.61
0,0,0,1,0,1,2,72077,1.03,0.12,0.24,0,0,0,115.39
0,1,1,0,0,1,3,11957,0.38,0.035,0.127,0.058881844,2.405210797,0.673823203,300.48
1,1,0,1,1,1,3,20000,1.667,0.0253,0.0759,0,4.544822058,1.506745938,474.073
0,0,1,0,0,0,3,32896,2.622,0.0658,0.658,0.033426055,0.71,0.71,44
0,1,0,0,0,0,3,33386,1.118,0.067,0.083,0.01,0.4,0.4,209.92
0,1,0,1,1,0,3,28129,0.89,0.083,0.3,0.138520314,1.12,0.055,429.72
1,0,1,1,0,0,3,75000,3.75,0.12,0.12,0.076208479,10.2,8.876920657,388.67
0,0,1,0,0,0,4,6800,1.7,0,0,0,0,0,70
0,1,0,0,0,0,4,52980,7.298,0.423,0.508,0.105,0,0,23.76
1,1,0,1,0,0,3,20235.6,3.8852,0.3744,1.1232,0.0911,8.0942,1.0118,359.48
1,1,0,0,0,1,3,50000,4,0.5,0.5,0.051443368,17.98694378,4.749540777,150
1,0,1,0,1,1,3,69825,3.045,0.412,0.412,0.0089,17.456,8.119,180.63
0,0,0,1,0,0,3,26700,1.8904,0.24,1.02,0.089324105,1.5,0.732,24.14
0,0,1,1,0,0,3,9500,0.4047,0.0017,0.0017,0.04678243,0.109,0.109,45.69
1,1,1,0,0,1,3,52546.68,5.525395588,0.257709133,0.720301331,0.053393368,8.821921489,6.219369455,330.46
0,0,0,1,0,1,2,10000,7,0.114440253,0.256172517,0.049244664,2.011550387,0.563538683,3.5
1,0,0,0,1,0,3,35000,1.08,0.25,0.7,0.172356323,35,3.2,170.41
1,1,0,0,1,1,3,62000,3.683,0.82,2.24,0.078,25.3,4.8,350
-0.006207869,0.996505133,-0.008513252,-0.002587945,0.996081729,-0.001840523,3.002905264,22595.8518,1.83435398,0.063505276,0.184881127,0.017953831,2.088117418,1.255087087,789.5768594
1.003091871,0.984811169,1.006572888,0.005462322,0.015018984,1.006201103,2.00523,158242.3756,14.95299795,2.095702157,2.760067442,0.234618447,31.44768872,8.893013507,18489.18492
0.99615965,-0.025582686,-0.007933512,1.004843617,1.020498394,0.005034339,3.0044266,44507.25004,2.429091709,0.072779075,0.667303421,0.005456975,0.467227931,0.270431999,685.0797166
1.006208186,0.992957859,0.997892316,0.007498604,-0.00210503,0.013341025,1.991062514,87849.16437,3.057932847,0.217032369,0.834771099,0.024485427,5.181529574,2.288477396,521.6561125
0.002376828,0.983604469,0.007622082,1.0173966,1.004435342,1.002718512,2.988232132,76979.431,2.88392136,0.129105666,0.722446888,0.022798456,0.026821754,0.499893914,686.1210064
1.001085127,-0.002919132,-0.014542728,0.005286871,0.990482476,1.007210166,2.996420893,39870.88671,3.251000305,0.535282656,0.746661353,0.052789381,125.7010905,4.957657638,1013.020906
0.991264684,1.002311849,1.004069028,1.009688963,-0.003298573,0.001594933,2.987415195,59765.06637,2.616781206,0.878307224,1.199439431,0.291739919,13.58029573,12.01186622,909.9316621
1,1,0,1,0,0,3,226116.2954,19.29724458,1.101128219,1.646192179,0.232643674,8.228248893,5.657192478,986.0772757
1.014627116,0.994167142,1.008124127,1.009795973,-5.83E-05,1.003207979,2.992778367,120201.2135,19.61483992,0.017705142,0.994408531,0.001401312,-0.416284189,-0.028910777,1733.93523
