process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,1,0,1,0,1,3,69686,5.13,0.1024,2.9342,0.0348,3.48,3.927075664,958
1,1,1,0,1,1,3,62538,3.6287,1.026,3.078,0.307966278,0.0427,3.524258213,934.54
1,1,0,1,0,0,3,20235.6,3.8852,0.3744,1.1232,0.0911,8.0942,1.0118,359.48
1,1,1,1,0,1,3,59109,4.2351,1.1191,3.3573,0.291080282,2.9556,2.9556,898.76
1,1,0,0,0,0,3,82000,9.8,1.16,1.6,0.07,27.2,1.6,1780
1,1,1,0,1,0,3,29273,3.5,0.45,0.66,0.95,2,1.8,450.38
1,1,0,0,0,0,3,29500,2.4,0.4,1.2,0.145271758,39.5,7.9,310
1,1,1,1,0,0,3,40500,3.31,0.0729,0.2187,0.041,0.03,2.282331665,500
0,0,0,1,0,0,3,14157,0.7119,0.2,7.0785,3.5534,0.4955,0.797801713,0.27
1,1,0,0,0,1,3,75300,3.3132,0.1054,3.0269,0.021,15.06,1.7319,2
0,1,0,0,0,1,3,55816,2.4559,0.078,0.6561,0.0156,2.7908,1.2837,4.6
1,1,1,0,1,0,3,120376,11.7968,0.78,3.0551,0.0024,18.176,16.8526,1672.68
0,0,0,0,1,1,3,12940,1.94,0.6962,2.2386,0.063722595,2.6029462,0.729219055,0.5
0,0,1,0,0,0,3,1003,0.3731,0.054,0.1735,0,0,0,37.14
0,1,0,1,0,0,3,10000,0.62,0.03,0.03,0.049244664,2.011550387,0.563538683,322.5
0,0,1,0,0,1,3,1000,0.85,0.55,0.55,0.004924466,0.201155039,0.056353868,3
0,0,0,1,0,0,3,4200,0.19,0.0018,0.006,3.00E-04,0.44,0.095,45
1,1,0,0,1,0,3,350000,28.54,0.62,0.75,0.13,126,0.7,3508.777
1,0,1,0,0,0,3,3569,0.104,0.040843726,0.091427971,0.01757542,0.717922333,0.201126956,16.44
1,0,0,0,0,1,3,3000,0.088,0.034332076,0.076851755,0.014773399,0.603465116,0.169061605,3.18
1,1,0,0,0,1,3,115600,9.24,1.32292933,2.961354291,0.569268312,16,16,220.02
1,1,0,1,0,0,3,85000,2.49,0.517,0.64,0.021,5.78,0.34,662.95
1,1,1,0,0,1,3,80500,2.35,0.92124404,2.062188758,0.396419542,2.92,2.92,323.03
1,1,0,1,1,1,3,46522.69,3.742823956,0.532406844,1.191783457,0.229099422,9.358273506,2.621733544,1500
1,1,1,1,0,0,3,58900,2.945,0.8835,1.2369,0.290051069,13.2525,12.0477,816.54
0,0,0,0,1,1,3,19000,1.29,0.2014,0.216,0.018,0.133,0.019,135.81
0,0,1,0,0,0,3,22000,1.496,0.233,0.25,0.021,0.154,0.088,80.94
0,1,0,1,1,0,3,28129,0.89,0.083,0.3,0.138520314,1.12,0.055,429.72
1,1,0,0,1,0,3,18799,0.29,0.127,0.248,0.092575043,0.282,0.038,525.94
1,0,0,1,0,1,3,28887,1.67,0.049,0.158,0.14225306,1.08,0.246,110.32
1,1,1,1,1,0,3,17016,0.752,0.029,0.094,0.08379472,1.87,0.425,2024.24
1,0,0,1,0,0,3,40787,2.39,0.07,0.224,0.20085421,8.204510562,2.298505225,41.98
1,1,1,0,0,1,3,92025,2.93,0.27,0.98,0.453174017,18.51129243,5.185964727,74.34
