"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Fe","Cu","Cr","Zn","Ni","NH3N","HWsum"
"751","1","0","1","0","0","0","0","0","0","1","0","1",60.024,7.473833334,0.002424451,741.298,3.400051777,0.05363034,0.452176343,0.049,0.001,0.083949007,0.003,0.384,3.7835
"1942","2","1","0","1","1","0","0","0","0","0","0","1",25.80832403,7.52975,0.003630027,1109.9139,5.090752609,0.080298422,0.677024365,0.041564399,0.018571924,0.12569327,0.016847594,0.516098954,26.618
"4974","1","0","1","0","0","0","0","0","0","1","0","1",9.323759397,6.827,0.003353145,400.978,1.839133468,0.029009368,0.24458823,0.015015948,0.008260744,0.04540914,0.004,0.186450793,3.65
"3684","2","0","1","0","0","0","0","0","0","1","0","1",743.546664,7.526333333,0.104582316,31977,146.6663281,2.313425072,19.50530409,0.929425045,0.535063501,3.621266199,0.48538495,14.86898783,2.718
"2177","3","1","0","1","1","0","0","0","0","0","0","1",249.583,7.558333333,0.033868,11691.4,53.62400187,0.845832251,7.131510531,0.437823165,0.373226,1.368435,0.004756,5.436385035,44.795
"2954","1","0","1","0","0","0","0","0","0","0","0","0",3.53,7.44483871,0.000481196,147.13,0.67482931,0.010644345,0.089746236,0.00550977,9e-04,0.016661879,0.002233314,0.11,0.99
"3634","3","1","0","1","1","0","0","0","0","0","0","1",368.3,7.803333333,0.018997698,5808.72,2.809,1.119,3.543198235,0.0728,0.097195924,0.657814098,0.000232248,0.3,48.8225
"3842","4","0","1","0","0","0","0","0","0","1","0","1",38.3526335,7.282258065,0.004215792,1289.017,5.912230359,0.09325591,0.786273527,0.048271507,0.062,0.153,0.019566234,0.599380119,1.45
"494","1","0","1","0","0","0","0","0","0","1","0","1",12.69968029,6.924672043,0.001786252,546.163,2.505041803,0.039512999,0.333148056,0.11,0.014933117,0.061850756,0.019910823,0.253960378,2.37
"4768","1","0","1","0","0","0","0","0","0","1","0","1",3.183971126,7.677096774,0.000447836,136.93,0.628045792,0.009906411,0.083524448,0.005127797,0.002291217,0.01550677,0.002078486,0.063671092,1.28
