industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,Cu,Ni,Fe,NH3N,HW17,HWsum
2669,202202,2,0,0,0,0,1,1,1,0,0,1,1,67.786599,7.641,471.221213,7.317150166,0.309312925,0.004621615,0.011467087,0,1.485119949,0,14.894
2669,202110,2,0,0,0,0,1,1,1,0,0,1,1,128.609,7.641,1330,20.65231669,0.873021372,0.013044294,0.032365321,0,4.191682119,0,22.695
2669,202210,4,0,0,0,0,1,0,0,0,0,0,0,266.000946,6.681363636,5032,78.13718615,3.303040258,0.049352547,0.122452855,0,9.718645,0,50.342
2669,202008,4,0,0,0,0,1,0,0,0,0,0,0,2041.743285,8.188064516,10506,163.1377738,6.89621243,0.103040114,0.255661703,0,16.07982049,0,86.14
2669,202202,3,0,1,0,0,1,0,1,0,1,1,0,14.7945,7.385,120.4556,3.444772,0.003041,0.001181397,0.002931266,0,3.2664,0,0.439
2669,202010,2,0,0,0,0,0,1,0,0,0,0,0,1.24,7.095,401.34,6.232030661,0.09,0.003936238,0.00976654,0,0.47,0,0.09
2669,202210,4,0,0,0,0,1,1,0,0,0,1,0,54.44,7.839354839,1403.11,21.78757298,0.921011291,0.013761338,0.034144441,0,4.42209857,0,74.757
2669,202206,4,0,0,0,0,1,1,0,0,0,1,0,48.77,7.367666667,493.94,7.669928801,0.324225697,0.004844435,0.012019945,0,1.556721403,0,76.435
2669,202206,4,0,0,0,0,1,1,0,0,0,1,0,44.12054186,7.717349463,718.93,11.16358649,0.471910718,0.007051078,0.017495038,0,2.265809042,0,76.435
2669,202008,3,0,0,0,0,1,0,1,0,0,0,0,3.67186,7.674,29,0.450313672,0.019035804,0.000284424,0.00070571,0,0.134204819,0,0.6
2669,202202,3,0,0,0,0,1,0,1,0,0,0,0,44.652123,7.484285714,1457,22.62438001,0.956385067,0.014289877,0.035455844,0,6.742635193,0,0.833
2669,202201,3,0,0,0,0,1,0,1,0,0,0,0,102.627425,7.538387097,3049,47.34504781,2.001385085,0.029903799,0.074196891,0,14.11001695,0,0.843
2669,202205,3,0,0,0,0,1,0,1,0,0,0,0,60.095931,7.857419355,1901,29.51883761,1.247829795,0.018644513,0.046260508,0,8.797357242,0,0.992
2669,202209,3,0,0,0,0,1,0,1,0,0,0,0,57.075991,6.912,2305,35.79217291,1.513018242,0.02260684,0.056091779,0,11.341255,0,2.78
2669,202206,1,0,0,0,0,0,1,0,0,0,0,0,65.05,7.467666667,5764.24,1.852,1.92,0.056534166,0.140271789,0,2.372,0,28
2669,202212,1,0,0,0,0,0,1,0,0,0,0,0,38.46,7.870645161,3479.98,8.514,0.599,0.034130738,0.084684715,0,1.109,0,28
2669,202009,3,0,0,0,0,1,1,0,0,0,1,1,148.94358,7.092,1600,24.84489226,1.050251274,0.015692384,0.038935725,0,6.05572437,0,1.93
2669,202201,3,0,0,0,0,1,1,0,0,0,1,1,22.74142,7.107419355,674,10.46591086,0.442418349,0.006610417,0.016401674,0,10.515533,0,1.93
2669,202108,3,0,0,0,0,1,1,0,0,0,1,1,79.8174,7.112903226,556,8.633600059,0.364962318,0.005453103,0.013530164,0,0.14504,0,1.95
2669,202106,3,0,0,0,0,1,0,0,0,0,0,0,74.86,8.437666667,1490.6523,23.14693487,0.978474673,0.01461993,0.036274767,0,0.08,0,0.73
2669,202201,2,0,0,0,0,0,1,0,0,1,1,1,27.556,8.184193548,225.3413,3.4991127,0.147915617,0.002210089,0.005483642,0,0.423733565,0,2.068
2669,202211,2,0,0,0,0,0,1,0,0,0,0,0,132.0013,7.105333333,2020.33,31.37180073,1.326158848,0.019814871,0.049164383,0,1.2696,0,294.188
2669,202205,2,0,0,0,0,0,1,0,0,0,0,0,117.7891,7.991290323,2348.85,36.47307824,1.541801691,0.02303691,0.057158861,0,0.2766,0,617.916
2669,202006,4,0,0,0,0,1,1,0,0,0,0,0,1156.13,8.4583,5771.86,89.62577489,3.788689575,0.056608901,0.14045722,0,9.54,0,33.19
2669,202005,4,0,0,0,0,1,1,0,0,0,0,0,1302.44,8.451580645,6290.71,97.6825076,4.129266371,0.061697647,0.153083346,0,6.36,0,34.01
2669,202011,4,0,0,0,0,1,1,0,0,0,0,0,1340.267,8.4,6801.047,105.60705,4.464255174,0.066702899,0.165502309,0,13.875,0,107.96
2669,202009,4,0,0,0,0,1,1,0,0,0,0,0,1497.14,8.714862069,6324.089,98.20081864,4.151176582,0.062025019,0.153895618,0,14.78,0,226.87
2669,202203,2,0,0,0,0,1,1,1,1,0,0,1,423.157,7.641,2579.943,40.06150366,1.693492765,0.02530341,0.062782469,0,1.542,0,0.09
2669,202011,2,0,0,0,0,1,1,1,1,0,0,1,15.713,7.641,223.699,3.473610971,0.1468376,0.002193982,0.005443677,0,0.305049058,0,2.2361
2669,202205,2,0,0,0,0,1,1,1,1,0,0,1,80.446,7.641,1056.752,16.40930599,0.693659459,0.010364349,0.025715878,0,0.449,0,8.575
2669,202208,2,0,0,0,0,1,1,1,1,0,0,1,172.068,7.641,2100.773,32.62092428,1.3789622,0.020603835,0.05112195,0,1.285,0,22.47
2669,202202,2,0,0,0,0,1,1,1,1,0,0,1,397.39,7.641,2045.679,31.76542147,1.34279811,0.020063487,0.049781247,0,4.254,0,200.485
2669,202107,1,0,0,0,0,0,1,0,0,1,0,0,851.834166,6.805483871,2926.269,45.43927376,1.920823591,0.028700085,0.071210253,0,9.222548452,0,0.724
2669,202207,2,0,0,0,0,0,0,1,0,0,0,0,227.3722,7.37,3304.4813,51.31217616,2.16908481,0.032409493,0.080413984,0,10.41453773,0,8.794
2669,202212,2,0,0,0,0,0,0,1,0,0,0,0,192.5264,7.919032258,2984.5163,46.34374119,1.95905753,0.029271359,0.072627691,0,9.406123013,0,8.81
2669,202205,2,0,0,0,0,0,0,1,0,0,0,0,226.451,7.364516129,3065.417,47.59997193,2.012161319,0.030064812,0.074596395,0,9.661092951,0,13.618
2669,202208,2,0,0,0,0,0,0,1,0,0,0,0,183.5242,7.374516129,3469.6856,53.87747806,2.277526077,0.034029774,0.084434202,0,10.93520232,0,14.681
2669,202201,2,0,0,0,0,0,0,1,0,0,0,0,127.778,7.043651032,2866.38,44.50931392,1.88151203,0.028112709,0.069752864,0,9.033799843,0,16.305
2669,202204,2,0,0,0,0,0,0,1,0,0,0,0,210.6311,7.342,2947.4053,45.76747945,1.934697608,0.028907384,0.071724601,0,9.289162475,0,17.195
2669,202109,2,0,0,0,0,0,0,1,0,0,0,0,81.5,7.982307692,2741.753,42.57409867,1.799705989,0.0268904,0.066720088,0,8.641020319,0,22.036
2669,202012,1,0,0,1,0,0,0,1,0,0,1,0,285.9,7.2816,411.49,6.389640447,0.270104936,0.004035787,0.010013538,0,8.56,0,9.368
