industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Fe,Ni,HW17,HWsum
2614,3,0,0,0,0,0,0,1,0,0,1,0,278.444,7.713125,1276,8.243635929,2.162257256,0.930213085,0,0,0,10.375
2614,3,0,0,0,0,0,0,1,0,0,1,0,64.5102,6.561612903,849,5.484989736,1.64914,0.368113,0,0,0,11.89
2614,3,0,0,0,0,1,1,0,0,0,0,0,479.412,7.443,1871,12.08765112,0.46859,3.653849195,0,0,0,18.273
2614,3,0,0,0,0,1,1,0,0,0,0,0,522.727,7.536774194,1814,11.71940092,0.49178,3.542534708,0,0,0,18.7104
2614,3,0,0,0,0,1,1,0,0,0,0,0,412.3061,7.326129032,1854,11.97782211,0.361916593,3.620650137,0,0,0,19.71
2614,3,0,0,0,0,1,1,0,0,0,0,0,143.1617,7.555333333,1123,7.255174881,0.03,2.193090671,0,0,0,26.15
2614,3,0,0,0,0,1,1,0,0,0,0,0,423.02,6.97516129,2275,14.69770512,0.338759,4.442815028,0,0,0,27.655
2614,3,0,0,0,0,1,1,0,0,0,0,0,492.05,7.272333333,2295,14.82691572,0.21,4.481872743,0,0,0,46.74
2614,3,0,0,0,0,1,1,0,0,0,0,0,371.8954,6.773333333,1320,8.527899237,0.01,2.577809159,0,0,0,50.01
2614,2,0,0,0,0,1,0,0,0,0,0,0,21.2819,7.814193548,394,2.545448712,0.12970155,0.036599,0,0,0,8.17
2614,2,0,0,0,0,1,0,0,0,0,0,0,23.681188,7.415806452,364,2.35163282,0.119825797,0.489913,0,0,0,8.848
2614,2,0,0,0,0,1,0,0,0,0,0,0,80.826,7.678064516,591,3.818173067,0.194552325,8.5932,0,0,0,11.87
2614,2,0,0,0,0,1,0,0,0,0,0,0,32.209665,8.088387097,753,4.864778883,0.247881388,3.463074,0,0,0,13.89
2614,1,0,0,0,0,1,0,0,0,0,0,0,2.574,7.25516129,46,0.297184367,0.015142821,0.089832743,0,0,0,0.351
2614,1,0,0,0,0,1,0,0,0,0,0,0,8.159,8.047,151,0.975539988,0.049707954,0.294885745,0,0,0,1.237
2614,1,0,0,0,0,1,0,0,0,0,0,0,37.828,7.446451613,246,1.589290312,0.080981171,0.480409889,0,0,0,13.079
2614,1,0,0,0,0,1,0,0,0,0,0,0,30.17,7.394333333,213,1.376092831,0.070117843,0.41596466,0,0,0,15.21
2614,1,0,0,0,0,1,0,0,0,0,0,0,52.99,6.927741935,178,1.149974291,0.058596132,0.347613659,0,0,0,17.19
2614,2,0,0,0,0,1,0,0,0,0,0,0,384.0141,7.404333333,3421.151,22.10244773,1.126214687,6.681116957,0,0,0,107.803
2614,2,0,0,0,0,1,0,0,0,0,0,0,532.174,7.46,3908.79,25.25285398,1.286741423,7.6334202,0,0,0,82.109
2614,2,0,0,0,0,0,1,1,0,0,1,1,21.48,6.997096774,152,0.982000518,0.050037146,0.29683863,0,0,0,4.8
2614,2,0,0,0,0,0,1,1,0,0,1,1,247.8384,7.760645161,1538,9.936294717,0.506296913,3.003538248,0,0,0,5.64
2614,3,0,0,0,0,1,1,1,0,0,0,0,511.4575,7.292666667,2077.7061,13.42308202,0.683963709,9.775594,0,0,0,55.561
2614,2,0,0,0,0,0,0,1,0,1,1,0,137.465,7.564535843,1146.65,7.407966409,0.377467721,2.239276419,0,0,0,0.65
2614,2,0,0,0,0,0,0,1,0,1,1,0,130.626967,7.564535843,1069.648941,6.910498779,0.352119608,2.088902149,0,0,0,0.825
