"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","NH3N","HWsum"
"34","2","0","0","1","0","0","0","0","1","1","0","0",413.47,7.461290323,13646.765,179.2901262,3.827198025,17.465,533.21
"41","2","0","0","1","0","0","0","0","1","1","0","0",275.44,7.326129032,11632.313,152.8244141,3.262250455,3.807,764.2101
"61","2","0","0","0","0","0","1","0","1","1","0","1",451.822,7.654516129,13452.236,176.7344195,3.772642897,10.964,973.9065
"6","2","0","0","0","0","0","0","0","1","1","1","1",468.319,7.190967742,6900.502,90.65825302,1.935226966,2.451,1000.499
"171","3","0","0","0","0","0","0","0","1","1","0","0",133.624501,7.581304348,7229,94.97403393,2.027353334,5.486284134,986.19
"124","2","0","0","0","0","0","0","0","1","0","0","0",326.9207,6.81700395,2724,35.78769794,0.763938371,0.74991,893.807
"115","2","0","0","0","0","0","0","0","1","0","0","0",187.6922,7.070740741,3563,46.81041401,0.999233632,0.757464,0.14
"52","2","0","0","0","0","0","1","0","1","1","0","1",941.238,7.645333333,10619.774,139.5217563,2.978286654,10.98,727.9855
"76","2","0","0","0","0","0","0","0","1","1","1","0",799.127,7.581304348,12873.074,169.1254346,3.610218494,26.614,874.225
"111","2","0","0","0","0","0","0","1","1","1","0","0",249.781586766944,7.42666080681984,3382.17505389612,45.5508452892053,0.986682332876253,4.12899385322199,1293.60705413843
"210","2","0","0","0","0","0","1","0","1","1","0","1",935.161445256148,7.55209149529976,18612.5931264575,244.53078592414,5.21985097944782,4.42082878737571,1868.29909838054
"310","2","0","0","0","0","0","0","1","1","1","1","0",277.914396582847,7.9796306789884,8949.08147284186,165.1309596036,0.679172689461006,6.15886247852631,1635.01794369772
"4","2","0","0","0","0","0","1","0","1","1","0","1",450.907068284527,8.20729812261649,13836.5575831114,181.783606227584,3.88042483708076,32.0845237802004,1550.08245203675
"53","2","0","0","0","0","0","0","1","1","1","1","0",105.879040927645,7.67383239037732,5754.43309530875,70.8526045686688,0.411918830904232,3.73278952034772,1574.94325465681
"610","2","0","0","0","0","0","0","1","1","1","1","0",339.535606929427,7.8931204319013,9495.7651682266,164.499138809586,0.828272424050051,5.31349077437259,1688.41712003067
"7","2","0","0","0","0","0","0","1","1","1","1","0",240.950054728661,7.59107832512369,8291.46542458244,143.636547189754,0.723226832816384,6.62541009750776,1341.40687044255
"8","2","0","0","0","0","0","0","1","1","1","1","0",214.51606949231,7.58691415970193,9712.50095393967,129.633498970356,2.71117926156335,7.90160660792077,2542.10605865722
"9","2","0","0","0","0","0","0","1","1","1","1","0",370.148548846785,7.63299016223097,10102.0689652221,175.002394847767,0.881157547293372,13.4221021029726,1564.38212725221
"10","2","0","0","0","0","0","0","1","1","1","1","1",1020.41804404784,7.58600633681893,16798.411885599,217.900056145459,4.55422249485327,32.8556951823201,1932.88761593964
"11","3","0","1","0","0","0","1","0","1","1","0","0",2804.08473945489,7.69441114301369,47229.6801506586,303.428188663032,12.4197521283267,22.6326680388648,1845.13016903552
"12","3","0","1","0","0","0","1","0","1","1","0","0",1594.76516418856,7.9455,27726.3606829727,416.818369611477,12.7902274125502,40.1836601741494,3377.50090836709
"13","2","0","0","0","0","0","1","0","1","1","0","1",311.495763305103,8.1100737833057,10872.4784574493,142.841767569897,3.0491569300486,18.4799042986473,1367.1182538518
"14","2","0","0","0","0","0","0","1","1","1","1","0",82.1098915222264,7.94979291816576,2861.92895182048,63.7758697868127,0.236027124741115,2.13587522558542,1503.41294932759
"15","2","0","0","0","0","0","0","1","1","1","1","0",245.681004743499,7.86610023896084,8441.5221632977,146.236043323911,0.736315599530303,4.65910645324155,1568.73221429528
"16","2","0","0","0","0","0","0","1","1","1","1","0",101.967803557802,7.90034987016959,4580.65229160863,73.0369987900569,0.624258976605954,2.65527576356055,1694.97989734023
"172","3","0","1","0","0","0","1","0","1","1","0","0",1819.87347558535,7.9455,39492.9635510412,395.249211647483,18.2347782467534,30.9776476434497,2482.35479184987
"182","2","0","1","0","0","0","0","0","1","1","1","0",255.004802927699,7.57575083716102,9667.12762426919,135.261846620918,2.90193696356417,8.00241596277209,3432.26552268473
"193","2","0","0","0","0","0","0","1","1","1","1","0",230.243598448718,7.84113451039499,7920.41673549085,122.851415364374,0.646041001338117,4.33670359073742,1562.17768445563
"20","2","0","0","0","0","0","0","0","1","1","0","1",76.4055555381939,8.01241128825348,3608.54433224494,47.4087718678781,1.01200641586019,0.209074368244899,1736.44444046548
"211","3","0","0","0","0","0","0","0","1","1","1","1",219.91151905898,7.581304348,9807.29669400281,128.847493274166,2.75042960951789,7.44302341333416,2392.58118421749
"221","2","0","0","0","0","0","1","0","1","1","0","1",307.147895924481,8.15901358674019,10875.3824522464,142.879920008875,3.0499713473507,3.43415081687551,1400.09972111928
"23","2","0","0","0","0","0","0","0","1","1","0","1",53.5543685318454,7.98872619107177,2430.55637200646,31.932458613501,0.681642905851596,0.319297084205877,1848.71636316261
"241","2","0","0","0","0","0","0","1","1","1","1","0",360.824225153867,8.02135347553296,9847.40801662206,170.590795954772,0.858944630469665,5.77891716803145,1567.1016907752
"25","2","0","0","0","0","0","0","1","1","1","1","0",76.3616144235898,8.03657621807052,2765.48181206635,42.897114011649,0.291626708666096,1.60792004902638,1542.25835532855
"261","3","0","1","0","0","0","1","0","1","1","0","0",1719.56648600976,7.9455,26890.8858802305,438.055828612025,13.2978277772754,45.9075255365921,3334.07403802458
"271","2","0","0","0","0","0","0","0","1","1","0","1",62.8012625761265,8.02685096585017,2906.15267830384,38.1808055125457,0.815022592466219,0.195405261620134,1777.99070097293
"281","2","0","0","0","0","0","0","1","1","1","1","0",384.471529785704,7.71579577946328,14766.9118621724,255.813432745349,1.28805058495301,11.4269530038983,1478.71672157843
"291","2","0","0","0","0","0","0","1","1","1","1","0",380.08658002004,7.78258779926649,13601.9442930442,235.632208985243,1.18643576034778,12.0506265873462,1705.92089407863
"30","3","0","0","0","0","0","0","0","1","1","1","1",211.2863309667,7.581304348,9693.60575752473,127.35383068621,2.71854529648232,7.35674027858856,2524.03015333697
"31","2","0","0","0","0","0","0","1","1","1","1","0",84.3258239631262,8.02407580824003,2974.62465716954,47.7178677817099,0.260166814143537,1.70525569583778,1515.92937957641
"321","2","0","0","0","0","0","1","1","1","1","0","0",288.460993181775,7.74177694446863,3142.61792394451,40.8822559436354,0.944259203870702,1.06153638625201,1305.19068023059
"33","3","0","1","0","0","0","1","0","1","1","0","0",2497.87531139781,7.74705560492924,43742.8082511595,329.43668329184,11.3664768626362,29.091625545577,1855.39212720156
"341","3","0","1","0","0","0","1","0","1","1","0","0",2066.6444572088,7.84716807396229,40171.8782581575,368.00345589865,12.8718435603842,33.9587156563353,2040.71891431272
"351","3","0","0","0","0","0","0","1","1","1","0","0",124.868140047564,7.35429719780847,2796.84252113995,33.6659704170954,0.806051303110283,0.586339069487797,1310.53539026193
"36","2","0","0","0","0","0","0","0","1","1","0","1",48.0061007584799,8.13027818612142,2495.55794524997,32.7864441781214,0.699872419371679,0.128887965358212,1385.0345006873
"371","2","0","0","0","0","0","1","0","1","1","0","1",698.2032783972,7.78297311185864,15725.5996843452,206.601692915906,4.41020154222122,4.04667054824112,1694.25430590978
"38","2","0","0","0","0","0","1","0","1","1","0","1",456.921129497883,8.19858465802334,14026.5483594365,184.279690116854,3.93370723212386,32.5315420843544,1558.04361158816
"391","2","0","0","0","0","0","0","1","1","1","1","0",390.469403072121,8.03929281996116,8658.96999650208,150.0029836504,0.755282585344343,12.9709502840806,1471.46752152483
"40","2","0","0","0","0","0","0","1","1","1","1","0",382.098197066225,7.87434159424336,9115.71714670936,157.915406859555,0.795122563001817,10.1874398938287,1574.62458582409
"411","2","0","0","0","0","0","0","0","1","1","0","1",79.4669481459633,8.03345664019099,3751.86064274118,49.2916502925317,1.0521990842527,0.208010615954525,1740.72824877435
"42","2","0","0","0","0","0","0","1","1","1","1","0",194.416105377122,7.66140186670661,7629.25443766344,122.297052565258,0.753994140183993,5.03353012939007,1444.74567088013
"431","2","0","0","0","0","0","0","1","1","1","1","0",410.571697034366,8.08021528696789,11209.3138292959,194.18366385768,0.977737482774706,8.23446072398592,1591.76449401249
"441","2","0","0","0","0","0","1","0","1","1","0","1",266.621097280272,8.04425761672399,10156.4687422263,133.434888207495,2.84835395835276,5.78590291930828,1309.23725066934
"451","2","0","0","0","0","0","0","1","1","1","1","0",140.487550134365,7.73773445393426,7620.10949781883,93.7941805629022,0.55499738300289,4.90040969875222,1514.87614850411
"65","2","0","0","0","0","0","1","0","1","1","0","1",258.349,7.838666667,9753.453,128.1400991,2.735329293,9.128,1219.1425
"66","2","0","0","0","0","0","1","0","1","1","0","1",617.327,7.567096774,9671.742,127.0665864,2.712413666,4.212,1225.5713
"130","2","0","0","0","0","0","0","0","1","1","0","1",34.3176,8.172272727,1948.8538,25.60388808,0.546550733,0.0945,1230.405
"190","2","0","0","0","0","0","0","0","1","1","0","0",929.993,6.910322581,5605.894,73.64979485,1.572157683,5.796,1250.312
"90","2","0","0","0","0","0","0","1","1","1","1","0",236.46,7.581304348,8671.1,150.2131168,0.756340631,6.059,1283.946
"1010","2","0","0","0","0","0","0","0","1","1","1","1",254.763,7.426666667,3469.505,45.58208405,0.973013215,3.901,1302.609
"129","2","0","0","0","0","0","0","0","1","0","0","0",269.687,7.740483871,3086,40.5436255,0.865460283,0.79684,1309.86
"116","2","0","0","0","0","0","0","0","1","1","1","1",139.174,7.357096774,2889.428,37.96107801,0.810332202,0.595,1310.277
"67","2","0","0","0","0","0","1","0","1","1","0","1",396.62,7.930322581,11803.9678,155.0796014,3.310390576,51.506,1351.86
"68","2","0","0","0","0","0","1","0","1","1","0","1",272.576,8.192258065,10446.591,137.2464916,2.929717954,3.38,1374.0945
"69","2","0","0","0","0","0","1","0","1","1","0","1",324.583,8.390322581,9845.842,129.3538985,2.761239536,22.695,1382.86
"91","2","0","0","0","0","0","0","1","1","1","1","0",362.5,7.834333333,8052.97,139.5049905,0.702423961,14.435,1402.85
"131","2","0","0","0","0","0","0","0","1","1","0","1",76.6087,7.826333333,4203.3937,55.22385612,1.178830299,0.1084,1454.533
"92","2","0","0","0","0","0","0","1","1","1","1","0",371.13,7.738064516,15437.05,267.4225179,1.346503688,10.239,1462.466
"93","2","0","0","0","0","0","0","1","1","1","1","0",95.76,8.006129032,3274.89,54.639,0.215,1.845,1478.129
"94","2","0","0","0","0","0","0","1","1","1","1","0",135.55,8.050322581,7459.46,150.805,0.434,6.778,1493.478
"70","2","0","0","0","0","0","1","0","1","1","0","1",670.91,7.837666667,17754.82,233.2614299,4.979290845,38.17,1494.16
"95","2","0","0","0","0","0","0","1","1","1","1","0",141.03,7.7358889,7674.37,94.379,0.549,4.95,1508.615
"96","2","0","0","0","0","0","0","1","1","1","1","0",72.39,7.909677419,2567.87,70.282,0.251,2.343,1521.417
"97","2","0","0","0","0","0","0","1","1","1","1","0",412.4,8.2,9134.13,158.2343805,0.796728632,11.823,1525.27
"98","2","0","0","0","0","0","0","1","1","1","1","0",435.1,7.631290323,12223.87,211.7592477,1.066232605,15.935,1540.385
"99","2","0","0","0","0","0","0","1","1","1","1","0",230.75,7.8516,8189.89,141.8769134,0.71436687,4.8,1566.822
"100","2","0","0","0","0","0","0","1","1","1","1","0",343.4,7.961,10088.38,174.7652551,0.879963521,3.737,1581.234
"101","2","0","0","0","0","0","0","1","1","1","1","0",283.15,7.903548387,8066.33,139.7364314,0.703589293,3.973,1593.942
"102","2","0","0","0","0","0","0","1","1","1","1","0",58.04,8.065333333,2284.35,31.807,0.364,1.384,1602.828
"103","2","0","0","0","0","0","0","1","1","1","1","0",261.51,7.635833333,6553.12,113.5224574,0.571598864,9.219,1604.52
"104","2","0","0","0","0","0","0","1","1","1","1","0",500.79,8.240333333,12714.84,220.2645277,1.109057686,14.275,1605.908
"105","2","0","0","0","0","0","0","1","1","1","1","0",363.33,7.68483871,16024.76,277.6036658,1.397766959,16.717,1667.021
"106","2","0","0","0","0","0","0","1","1","1","1","0",86.48,7.976451613,3634.87,71.745,0.531,2.186,1677.569
"132","2","0","0","0","0","0","0","0","1","1","0","1",44.0991,7.790322581,2096.147,27.53901457,0.587858709,0.2203,1691.238
"107","2","0","0","0","0","0","0","1","1","1","1","0",68.92,7.969666667,2907.26,52.222,0.223,1.47,1699.027
"71","2","0","0","0","0","0","1","0","1","1","0","1",567.49,8.038387097,17519.54,230.1703398,4.913307211,40.75,1704.41
"108","2","0","0","0","0","0","0","1","1","1","1","0",122.85,7.797741935,5855.85,74.779,0.75,3.288,1718.455
"133","2","0","0","0","0","0","0","0","1","1","0","1",79.4975,8.033666667,3753.2909,49.3104409,1.052600196,0.208,1740.771
"109","2","0","0","0","0","0","0","1","1","1","1","0",403.2,7.917419355,10260,177.7383006,0.894933154,5.614,1759.578
"110","2","0","0","0","0","0","0","1","1","1","1","0",1.75,7.49,66.93,1.159456575,0.005838,0.127,1771.43
"134","2","0","0","0","0","0","0","0","1","1","0","1",34.9556,8.015483871,1493.3119,19.61901439,0.41879525,0.1744,1840.065
"174","3","0","1","0","0","0","1","0","1","1","0","0",2807.304,7.693870968,47265,303.02,12.4198,22.6338,1844.32
"175","3","0","1","0","0","0","1","0","1","1","0","0",2176.269,7.802333333,40082,356.893,10.2717,35.8036,1866.9
"72","2","0","0","0","0","0","1","0","1","1","0","1",938.466,7.551935484,18705.552,245.7520723,5.245921042,4.423,1874.9816
"135","2","0","0","0","0","0","0","0","1","1","0","1",147.9624,7.852903226,7188.0437,94.43595328,2.015867251,1.0548,1892.631
"89","2","0","0","0","0","0","0","0","1","1","1","0",1015.585,7.581304348,16386.178,215.2803189,4.595458929,32.671,1935.124
"176","3","0","1","0","0","0","1","0","1","1","0","0",1307.68,7.9455,30812,493.166,12.3975,22.1065,2221.72
"122","3","0","0","0","0","0","0","0","1","1","1","1",230.05495,7.581304348,9941,130.6040768,2.787926337,7.544494478,2237.994
"137","3","0","0","0","0","0","0","0","1","1","1","1",229.38093,7.581304348,10469,137.5408993,2.936002497,7.945207996,2410.756
"177","3","0","1","0","0","0","1","0","1","1","0","0",1826.215,7.9455,40369,392.371,18.5745,29.9125,2421.94
"142","3","0","0","0","0","0","0","0","1","1","1","1",203.16213,7.581304348,9925,130.3938701,2.783439181,7.532351644,2528.731
"157","3","0","0","0","0","0","0","0","1","1","1","1",159.87962,7.581304348,9016,118.4514995,2.52851261,6.842486894,3307.475
"178","3","0","1","0","0","0","1","0","1","1","0","0",1728.063,7.9455,26810,436.919,13.3164,46.3985,3357.02
"162","3","0","0","0","0","0","0","0","1","1","1","1",251.27774,7.581304348,10339,135.8329695,2.899544352,7.84654747,3431.599
"179","3","0","1","0","0","0","1","0","1","1","0","0",1215.592,7.9455,30333,359.641,11.2935,22.5052,3435.76
