"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Cr","NH3N","HWsum"
"27","2","0","0","0","0","0","0","0","1","0","0","0",1885.6,7.351785786,19795.71,349.7153789,7.222658493,0.55669074,0.021266293,48.816,737.73
"28","2","0","0","0","0","0","0","0","1","0","0","0",1475.7,7.351785786,19784.62,349.5194605,7.218612198,0.556378869,0.02125438,32.839,781.3
"29","2","0","0","0","0","0","0","0","1","0","0","0",872.284,7.351785786,30225.15,533.9641662,11.02794173,0.84998523,0.032470515,8.031,835.399
"30","2","0","0","1","0","0","0","0","1","1","0","0",170.847,6.996333333,5000.451,88.33907024,1.824463476,0.140621618,0.005371924,3.84,274.374
"31","2","0","0","1","0","0","0","0","1","1","0","0",614.717,6.847096774,19633.839,346.8557301,7.163598275,0.552138638,0.021092397,20.877,517.681
"32","2","0","0","1","0","0","0","0","1","1","0","0",413.47,7.461290323,13646.765,241.0867603,4.979155743,0.383771418,0.014660556,17.465,533.21
"33","2","0","0","1","0","0","0","0","1","1","0","0",551.035,7.366,17789.131,314.2667117,6.490538511,0.500262152,0.01911065,9.037,581.039
"34","2","0","0","1","0","0","0","0","1","1","0","0",568.215,7.188387097,14429.301,254.9112139,5.264671659,0.405777729,0.015501225,10.129,646.4535
"35","2","0","0","1","0","0","0","0","1","1","0","0",219.014,6.856666667,6931.295,122.4497862,2.528950803,0.194920401,0.007446207,2.615,651.1651
"36","2","0","0","1","0","0","0","0","1","1","0","0",359.587,7.139666667,21597.137,381.5397856,7.879926761,0.607350086,0.023201545,9.023,661.8894
"37","2","0","0","1","0","0","0","0","1","1","0","0",420.093,7.429259259,14498.834,256.1395992,5.290041455,0.407733121,0.015575923,4.13,703.2689
"38","2","0","0","1","0","0","0","0","1","1","0","0",212.621,7.092580645,6680.367,118.0168368,2.437397267,0.187863858,0.007176638,2.381,704.8353
"39","2","0","0","1","0","0","0","0","1","1","0","0",304.414,7.533,12391.333,218.9080217,4.521099093,0.348466427,0.01331186,8.089,754.4877
"40","2","0","0","1","0","0","0","0","1","1","0","0",275.44,7.326129032,11632.313,205.499007,4.244163219,0.327121428,0.012496454,3.807,764.2101
"41","2","0","0","1","0","0","0","0","1","1","0","0",338.167,7.084516129,15835.062,279.7456978,5.777577315,0.44531024,0.017011417,1.99,770.8134
"42","2","0","0","1","0","0","0","0","1","1","0","0",269.943,7.368387097,10490.346,185.3247661,3.827505385,0.295007276,0.011269653,7.022,820.2446
"43","2","0","0","1","0","0","0","0","1","1","0","0",248.61,7.35529571,9690.135,171.1880621,3.535540572,0.272503912,0.010409996,12.097,913.9314
"44","2","0","0","1","0","0","0","0","1","1","0","0",390.207,7.192666667,11314.771,199.88924,4.128304913,0.31819158,0.012155323,12.873,964.124
"45","2","0","0","1","0","0","0","0","1","1","0","0",244.963,7.51,9703.191,171.4187123,3.540304181,0.27287107,0.010424022,29.008,998.6919
"46","2","0","0","1","0","0","0","0","1","1","0","0",296.194,7.227741935,8671.959,153.2007403,3.164049096,0.243870984,0.009316181,6.322,1161.032
"47","2","0","0","1","0","0","0","0","1","1","0","0",437.896,7.227741935,10938.175,193.236212,3.990900178,0.307601027,0.01175075,22.207,1186.227
"48","3","0","1","0","1","0","0","0","0","1","0","0",14.2032,7.418666667,208,3.674573875,0.075890835,0.005849332,0.000223452,3.11399,0.695
"49","3","0","1","0","1","0","0","0","0","1","0","0",14.22403509,7.445895834,286,5.052539079,0.104349898,0.008042831,0.000307246,3.162101293,0.737
"50","3","0","1","0","1","0","0","0","0","1","0","0",10.0413,7.473125,322,5.688523019,0.117484851,0.009055215,0.000345921,2.29956,0.795
"51","3","0","1","0","1","0","0","0","0","1","0","0",17.80491106,7.445895834,358,6.324506959,0.130619803,0.0100676,0.000384595,3.958154765,1.505
"52","2","0","0","0","0","0","0","0","1","1","0","1",34.3176,8.172272727,1948.8538,34.42888106,0.711058378,0.054805251,0.00209363,0.0945,1230.405
"53","2","0","0","0","0","0","0","0","1","1","0","1",42.1672,8.128666667,2129.9804,37.62870352,0.777144191,0.059898855,0.002288212,0.138,1381.63
"54","2","0","0","0","0","0","0","0","1","1","0","1",92.3899,8.065483871,3056.6364,53.9992128,1.115243699,0.085958078,0.003283708,0.2137,1610.623
"55","2","0","0","0","0","0","0","0","1","1","0","1",44.0991,7.790322581,2096.147,37.03099522,0.764799744,0.058947399,0.002251866,0.2203,1691.238
"56","2","0","0","0","0","0","0","0","1","1","0","1",79.4975,8.033666667,3753.2909,66.30646484,1.369424911,0.105549247,0.004032115,0.208,1740.771
"57","2","0","0","0","0","0","0","0","1","1","0","1",34.9556,8.015483871,1493.3119,26.38117738,0.544849459,0.041994599,0.001604247,0.1744,1840.065
"58","2","0","0","0","0","0","0","0","1","1","0","1",147.9624,7.852903226,7188.0437,126.9855654,2.622628078,0.202140634,0.007722029,1.0548,1892.631
"59","3","0","0","0","0","0","0","0","1","1","0","0",219.171,7.549090909,3173.743,56.06804382,1.157971188,0.089251325,0.003409514,0.582,0.107
"60","3","0","0","0","0","0","0","0","1","1","0","0",997.557,7.46,9806.126,173.2371847,3.577861023,0.275765786,0.010534603,2.732,0.1953
"61","3","0","0","0","0","0","0","0","1","1","0","0",1090.306,7.528064516,9594.888,169.5054076,3.500788772,0.269825396,0.010307673,3.378,22.049
"62","3","0","0","0","0","0","0","0","1","1","0","0",1286.537,7.449,11383.441,201.1023794,4.153359835,0.320122703,0.012229094,3.781,479.634
"63","3","0","0","0","0","0","0","0","1","1","0","0",1138.926,7.07483871,10378.99,183.3575265,3.786876059,0.291875746,0.011150024,8.836,1321.406
"64","3","0","0","0","0","0","0","0","1","1","0","0",1529.003,7.219,10283.996,181.6793415,3.752216569,0.289204345,0.011047973,3.735,1488.1033
"65","3","0","0","0","0","0","0","0","1","1","0","0",1484.884,7.251290323,12025.917,212.4525021,4.38777349,0.338190276,0.012919298,12.528,1536.414
"66","3","0","0","0","0","0","0","0","1","1","0","0",1270.957,6.933225806,11351.564,200.5392333,4.1417292,0.319226265,0.012194849,3.98,1609.528
"67","5","0","1","1","0","0","1","0","0","0","1","0",57.19203617,7.097,1440.45,25.4473074,0.525562277,0.040508028,0.001547458,1.668369325,0.9284
"68","5","0","1","1","0","0","1","0","0","0","1","0",49.99126719,7.343214286,1259.09,22.24336164,0.459391307,0.035407861,0.001352625,1.458313119,3.5
"69","5","0","1","1","0","0","1","0","0","0","1","0",48.16685533,6.939588581,1213.14,21.4315988,0.442625999,0.034115665,0.001303262,1.405092549,4.7856
"70","5","0","1","1","0","0","1","0","0","0","1","0",35.25065464,7.080967742,887.83,15.68460059,0.323933463,0.024967366,0.000953785,1.028309443,79.5
"71","5","0","1","1","0","0","1","0","0","0","1","0",25.58226439,7.042916667,644.32,11.38269923,0.235086457,0.01811943,0.000692185,0.746269376,89.3652
"72","5","0","1","1","0","0","1","0","0","0","1","0",23.35683926,7.30047619,588.27,10.39250757,0.214636066,0.016543204,0.000631971,0.681350705,90
"73","5","0","1","1","0","0","1","0","0","0","1","0",17.85422252,7.53,449.68,7.944146059,0.164070148,0.012645805,0.000483086,0.520831905,91.14
"74","5","0","1","1","0","0","1","0","0","0","1","0",23.30403257,7.348275862,586.94,10.36901149,0.214150802,0.016505802,0.000630543,0.679810262,118.33
"75","5","0","1","1","0","0","1","0","0","0","1","0",37.56064989,7.036,946.01,16.71242131,0.345161005,0.026603492,0.001016287,1.09569514,119.6029
"76","5","0","1","1","0","0","1","0","0","0","1","0",30.80417185,7.365,775.84,13.70616056,0.283072816,0.021818007,0.000833476,0.898599505,121.72
"77","5","0","1","1","0","0","1","0","0","0","1","0",42.00752972,7.114,1058.01,18.69103801,0.386025301,0.029753132,0.001136607,1.225416661,180.96
"78","5","0","1","1","0","0","1","0","0","0","1","0",29.77980132,7.25826087,750.04,13.25037206,0.273659433,0.021092465,0.000805759,0.868717226,242
"79","2","0","0","0","0","0","0","0","1","0","0","0",147.95,7.445621367,5865.217,70.59,1.063,0.164940383,0.006300932,13.284,433.245
"80","2","0","0","0","0","0","0","0","1","0","0","0",188.4,8.267419355,2728.338,48.19942086,1.468,0.07672574,0.002931021,4.94,479.8215
"81","2","0","0","0","0","0","0","0","1","0","0","0",377.777,7.918387097,9287.68,177.77,3.427,0.261186158,0.009977643,14.007,536.26
"82","2","0","0","0","0","0","0","0","1","0","0","0",481.871,8.0299,11036.09,194.966,4.903,0.310354572,0.011855939,16.705,601.3815
"83","2","0","0","0","0","0","0","0","1","0","0","0",218.304,8.106333333,6317.637,111.6087686,2.279,0.177663242,0.006786962,12.786,607.412
"84","2","0","0","0","0","0","0","0","1","0","0","0",467.286,8.132580645,8407.019,259.153,3.926,0.236420397,0.00903156,25.098,621.2805
"85","2","0","0","0","0","0","0","0","1","0","0","0",402.864,7.744516129,10588.479,131.918,2.64,0.297766951,0.011375076,10.721,663.9485
"86","2","0","0","0","0","0","0","0","1","0","0","0",78.244,7.361428571,7748.77,136.8914798,1.199,0.217909259,0.008324411,7.367,741.101
"87","2","0","0","0","0","0","0","0","1","0","0","0",241.116,7.434,7295.168,128.8780469,0.872,0.20515316,0.007837111,6.974,755.548
"88","2","0","0","0","0","0","0","0","1","0","0","0",162.281,7.300645161,8633.319,24.79,1.297,0.242784358,0.009274671,10.555,784.616
"89","2","0","0","0","0","0","0","0","1","0","0","0",72.253,7.572666667,2521.849,44.55154064,0.574,0.0709189,0.002709192,12.344,791.051
