industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,Cr6,water,N,P,Fe,Cu,Cr,Zn,Ni,NH3N,HW17,HWsum
3360,202011,2,0,1,0,0,0,0,0,0,1,0,1,0.191438211,7.473833334,2.69E-05,8.233,0.037761637,0.000595629,0.005021959,0.000308312,0.000137761,0.000932354,0.00012497,0.003828263,3,3.004
3360,202206,2,0,1,0,0,0,0,0,0,1,0,1,30.65729604,7.473833334,0.004312051,1318.449,6.047223741,0.095385214,0.804226434,0.049373686,0.022061292,0.149309028,0.020012988,0.613065708,3.08,3.08
3360,202211,2,0,1,0,0,0,0,0,0,1,0,1,27.24651958,7.473833334,0.003832314,1171.765,5.374440063,0.084773135,0.714752248,0.043880618,0.019606864,0.132697657,0.017786443,0.544859102,3.04,3.34
3360,202107,2,0,1,0,0,0,0,0,0,1,0,1,40.27896706,7.473833334,0.005665371,1732.239,7.945120976,0.125321485,1.056629717,0.064869422,0.028985141,0.196169076,0.026293984,0.805473953,5,5.026
3360,202204,2,0,1,0,0,0,0,0,0,1,0,1,28.96985878,7.473833334,0.004074707,1245.879,5.714372772,0.090135026,0.759960245,0.046656062,0.020846996,0.141090769,0.018911434,0.579321377,2.55,2.558
3360,202210,3,1,0,1,1,0,0,0,0,0,0,1,14.71188587,7.473833334,0.002069276,632.7,2.901954085,0.045773651,0.385933824,0.023693545,0.010586818,0.071650722,0.009603873,0.294199224,1.61,36.32
3360,202208,3,1,0,1,1,0,0,0,0,0,0,1,29.11404782,7.473833334,0.004094988,1252.08,5.742814399,0.090583647,0.763742726,0.046888279,0.020950755,0.141793007,0.01900556,0.582204781,2.23,36.72
3360,202211,3,1,0,1,1,0,0,0,0,0,0,1,20.96384442,7.473833334,0.002948635,901.572,4.135167612,0.065225608,0.549940145,0.033762347,0.015085789,0.10209939,0.013685132,0.419222037,1.47,42.816
3360,202004,4,1,0,1,1,0,0,0,0,0,0,1,187.6009367,7.473833334,0.026386697,8067.974,37.00472594,0.583689944,4.921296127,0.302131987,0.564818634,0.913665495,0.027419406,3.751527885,66.052,74.1321
3360,202005,4,1,0,1,1,0,0,0,0,0,0,1,173.5789771,7.473833334,0.024414462,7464.945,34.23886144,0.540062887,4.553460995,0.27954957,0.522602085,0.845374895,0.025369982,3.471125381,70.867,97.907
3360,202010,4,0,1,1,0,0,0,0,0,1,1,0,177.9124611,7.473833334,0.025023981,7651.311,35.09365135,0.55354582,4.667140374,0.286528662,0.535649102,0.866480092,0.026003356,3.557783723,96.085,101.8746
3360,202111,4,0,1,1,0,0,0,0,0,1,1,0,168.4400947,7.473833334,0.023691661,7243.942,33.2252048,0.524074086,4.418653767,0.271273381,0.507130219,0.820347197,0.024618892,3.368361178,105.47,113.966
3360,202212,4,0,1,1,0,0,0,0,0,1,1,0,199.4553869,7.473833334,0.028054065,8577.787,39.34304413,0.620573147,5.232271441,0.321223622,0.939,0.97139976,0.02,3.988585873,77.96,127.805
3360,202007,2,0,1,0,0,0,0,0,0,1,0,1,25.4533995,7.473833334,0.003580105,1094.65,5.020742909,0.079194132,0.667713704,0.040992792,0.005732248,0.123964695,0.003070134,0.509001392,8.99,9.01
3360,202001,2,0,1,0,0,0,0,0,0,1,0,1,13.04258559,7.473833334,0.001834483,560.91,2.572680679,0.040579894,0.342143419,0.021005131,0.002937263,0.063520794,0.001573169,0.260817586,10.2,10.2
3360,202012,2,1,0,1,1,0,0,0,0,0,0,1,29.32773872,7.473833334,0.004125044,1261.27,5.784965431,0.091248511,0.769348435,0.047232429,0.006604771,0.142833737,0.003537449,0.58647804,11.6,11.953
3360,202009,2,1,0,1,1,0,0,0,0,0,0,1,16.91762238,7.473833334,0.00237952,727.56,3.3370408,0.052636443,0.443796449,0.027245892,0.003809943,0.082393234,0.002040567,0.338308183,13.58,13.64
3360,202011,2,1,0,1,1,0,0,0,0,0,0,1,9.061284657,7.473833334,0.0012745,389.69,1.787359708,0.02819272,0.237702785,0.014593232,0.002040652,0.04413082,0.001092953,0.181201985,24.63,31.93
3360,202208,2,1,0,1,1,0,0,0,0,0,0,1,28.04701173,7.473833334,0.003944906,1206.191,5.532339022,0.087263736,0.735751392,0.045169814,0.02,0.136596263,0.00338297,0.560866851,31.064,41.762
3360,202006,3,0,1,1,0,0,0,0,0,1,1,0,88.12875383,7.6605,0.012395603,3790.069,17.38360394,0.27419835,2.311863163,0.046520912,0.071086175,0.127280972,0.092,1.762344492,117.59,185.6067
3360,202003,3,0,1,1,0,0,0,0,0,1,1,0,145.0405926,7.6605,0.020400443,6237.622,28.60959798,0.451270323,3.804819524,0.076563214,0.116992247,0.209476553,0.096,2.90043236,123.22,207.455
3360,202210,3,0,1,1,0,0,0,0,0,1,1,0,127.8985366,7.734516129,0.017989355,5500.41,25.22828713,0.397935591,3.355135556,0.076,0.143,0.152,0.067,2.557636092,223.803,263.803
3360,202112,3,0,1,1,0,0,0,0,0,1,1,0,108.9428984,7.6605,0.015323182,4685.203,21.4892429,0.338958191,2.857876262,0.057508166,0.087875224,0.157342041,0.104,2.178572923,246.081,305.324
3360,202203,3,0,1,1,0,0,0,0,0,1,1,0,224.7574124,7.6605,0.031612879,9665.927,44.33392815,0.699296303,5.896014181,0.019,0.181293211,0.055,0.117,4.49456018,283.907,318.656
3360,202110,3,0,1,1,0,0,0,0,0,1,1,0,88.96803123,7.6605,0.01251365,3826.163,17.54915338,0.276809626,2.333879752,0.046963945,0.071763151,0.128493108,0.076,1.779127844,208.206,262.481
3360,202207,1,1,0,1,1,0,0,0,0,0,0,1,26.84013484,7.473833334,0.003775154,1154.288,5.294279716,0.083508734,0.704091642,0.043226134,0.262,0.130718458,0.059,0.536732471,12.102,12.102
3360,202010,1,1,0,1,1,0,0,0,0,0,0,1,13.14880322,7.473833334,0.001849423,565.478,2.593632356,0.040910373,0.344929804,0.021176195,0.034,0.064038101,0.031,0.262941661,40.03,40.03
3360,202110,1,1,0,1,1,0,0,0,0,0,0,1,31.78809061,7.473833334,0.004471101,1367.08,6.270275628,0.098903498,0.833890331,0.051194835,0.052,0.154816293,0.031,0.63567864,65.279,65.279
3360,202112,1,0,1,1,0,0,0,0,0,1,1,0,29.84099216,7.473833334,0.004197235,1283.343,5.886205881,0.092845416,0.782812505,0.048059026,0.056,0.145333416,0.03,0.596741766,104.169,117.949
3360,202209,2,1,0,1,1,0,0,0,0,0,0,1,11.01484731,7.473833334,0.001549275,473.705,2.172704536,0.034270914,0.288950185,0.017739451,0.003,0.05364518,0.007190458,0.220268126,20.28,90.38
3360,202112,2,0,1,1,0,0,0,0,0,1,1,0,18.36613973,7.473833334,0.002583259,789.855,3.622764254,0.05714327,0.481795102,0.029578734,0.004456561,0.089447891,0.011989359,0.367274741,35.2,121.94
3360,202201,2,0,1,1,0,0,0,0,0,1,1,0,19.15795868,7.473833334,0.002694631,823.908,3.778952404,0.059606887,0.502566722,0.030853962,0.003,0.093304256,0.012506256,0.383109048,21.64,166.1
3360,202111,2,0,1,1,0,0,0,0,0,1,1,0,15.39999846,7.473833334,0.002166061,662.293,3.037685912,0.047914602,0.403984938,0.024801753,0.003736824,0.075002009,0.010053071,0.307959676,27.94,206.062
3360,202001,4,1,0,1,1,0,0,0,0,0,0,1,295.2713627,7.473833334,0.041530901,12698.453,58.24297069,0.918689044,7.745791889,0.475535597,0.396,1.438048555,0.239,5.904654691,94.3,94.3
3360,202005,4,0,1,1,0,0,0,0,0,1,1,0,312.8739819,7.473833334,0.044006768,13455.472,61.71512871,0.973456743,8.207557715,0.503884679,0.452,1.523777901,0.274,6.256661017,198.4,198.4
3360,202009,4,0,1,1,0,0,0,0,0,1,1,0,342.7318321,7.473833334,0.048206374,14739.54,67.60465989,1.066354611,8.990812454,0.551970855,0.491,1.66919342,0.299,6.853739901,231.4,231.4
3360,202008,4,0,1,1,0,0,0,0,0,1,1,0,331.691407,7.473833334,0.046653502,14264.735,65.42691007,1.032004115,8.701191292,0.53419021,1.307,1.61542367,0.51,6.632960285,149.8,302.8
3360,202208,4,0,1,1,0,0,0,0,0,1,1,0,302.7257802,7.473833334,0.04257939,13019.038,59.71337206,0.941882257,7.941342063,0.487540963,0.257,1.474353512,0.427,6.053723536,315.44,316.215
3360,202204,4,0,1,1,0,0,0,0,0,1,1,0,133.3793012,7.473833334,0.018760243,5736.116,26.30938084,0.414988103,3.498911307,0.214807847,0.097,0.649591988,0.224,2.667237044,288.23,336.23
3360,202211,4,1,1,1,1,0,0,0,0,1,1,0,247.7972208,7.473833334,0.034853505,10656.778,48.87858455,0.770980937,6.500412656,0.39907832,0.581,1.206837101,0.352,4.955296067,291.19,352.19
3360,202210,4,1,1,1,1,0,0,0,0,1,1,0,246.6306406,7.473833334,0.034689421,10606.608,48.64847386,0.767351311,6.469810001,0.397199538,0.113,1.201155551,0.404,4.931967515,301.58,393.58
3360,202209,4,1,1,1,1,0,0,0,0,1,1,0,286.4817841,7.473833334,0.040294618,12320.448,56.50920562,0.891341693,7.515216711,0.461379949,0.11,1.395241014,0.761,5.728886115,311.74,419.74
3360,202108,4,1,1,1,1,0,0,0,0,1,1,0,276.3349776,7.473833334,0.038867435,11884.074,54.50772418,0.859771547,7.249037658,0.44503848,0.449,1.34582342,0.247,5.525976534,383.71,437.71
3360,202207,3,1,0,1,1,0,0,0,0,0,0,1,11.13366782,7.204516129,0.001565987,478.815,2.196142161,0.034640605,0.292067179,0.017930812,0.026,0.054223866,0.007268024,0.222644226,28.45,40.45
3360,202107,3,1,0,1,1,0,0,0,0,0,0,1,9.511965504,7.265,0.00133789,409.072,1.876257565,0.029594941,0.249525401,0.015319055,0.026,0.046325753,0.006209382,0.190214422,31.06,46.305
3360,202203,3,1,0,1,1,0,0,0,0,0,0,1,5.911680794,7.085,0.000831498,254.238,1.166092939,0.018393238,0.155079886,0.009520783,0.078,0.028791427,0.003859127,0.118218148,22.37,51.34
3360,202002,4,1,0,1,1,0,0,0,0,0,0,1,28.10884025,7.473833334,0.003953602,1208.85,5.544534843,0.087456106,0.737373326,0.045269389,0.07,0.136897384,0.04,0.56210326,53.2,63.2
3360,202108,4,0,1,1,0,0,0,0,0,1,1,0,235.2322891,7.473833334,0.033086205,10116.41,46.40012221,0.731887186,6.170799429,0.378842452,2.25,1.145642605,0.45,4.704030307,116.451,144.451
3360,202203,4,0,1,1,0,0,0,0,0,1,1,0,241.6790574,7.473833334,0.033992965,10393.66,47.67176243,0.751945262,6.339916156,0.389224996,2.91,1.177040049,0.56,4.832948807,133.595,163.88
3360,202111,4,0,1,1,0,0,0,0,0,1,1,0,283.7619803,7.473833334,0.039912068,12203.48,55.97271793,0.882879463,7.443868667,0.456999695,3.67,1.38199486,0.41,5.674497156,159.333,197.033
3360,202210,4,0,1,1,0,0,0,0,0,1,1,0,129.7654836,7.473833334,0.018251948,5580.7,25.5965468,0.403744294,3.404110784,0.20898778,0.51,0.631991753,0.32,2.594970146,152.641,197.895
3360,202009,4,0,1,1,0,0,0,0,0,1,1,0,191.3384579,7.473833334,0.026912392,8228.71,37.7419608,0.595318636,5.01934174,0.308151278,1.41,0.931868199,0.21,3.826268531,145.6,208.0055
3360,202012,4,0,1,1,0,0,0,0,0,1,1,0,231.4688645,7.473833334,0.032556867,9954.56,45.65777786,0.720177899,6.0720743,0.372781443,1.8,1.127313746,0.17,4.628771662,155.55,217.55
3360,202003,4,0,1,1,0,0,0,0,0,1,1,0,222.3882802,7.473833334,0.031279653,9564.04,43.86661126,0.691925131,5.833865232,0.358157129,0.52,1.083088932,0.09,4.447183736,145.6,229.68
3360,202008,4,0,1,1,0,0,0,0,0,1,1,0,203.0021675,7.473833334,0.028552931,8730.32,40.04265495,0.63160838,5.325313394,0.326935725,1.87,0.988673507,0.22,4.059512205,185.9,247.6485
3360,202201,4,0,1,1,0,0,0,0,0,1,1,0,236.8288089,7.473833334,0.033310761,10185.07,46.7150395,0.736854499,6.2126806,0.381413653,3.11,1.153418073,0.62,4.735956526,191.097,209.407
3360,202111,1,0,1,0,0,0,0,0,0,1,0,1,14.01244928,7.473833334,0.001970898,602.62,2.763988574,0.043597467,0.367585651,0.0225671,0.010083496,0.068244283,0.009147283,0.280212323,9.544,9.544
3360,202212,1,0,1,0,0,0,0,0,0,1,0,1,14.29945546,7.473833334,0.002011266,614.963,2.820601217,0.044490441,0.375114624,0.023029325,0.010290029,0.069642078,0.00933464,0.285951695,10.009,10.009
3360,202211,2,1,0,1,1,0,0,0,0,0,0,1,63.78454728,7.473833334,0.008971509,2743.121,12.58165195,0.198455293,1.673246685,0.123,0.004,0.237,0.001,1.275524056,37.845,96.523
3360,202010,2,0,1,1,0,0,0,0,0,1,1,0,64.65691305,7.473833334,0.00909421,2780.638,12.75372815,0.201169518,1.696131274,0.085610205,0.007096489,0.154,0.002146307,1.292969089,49.53,100.6178
