industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,Cr6,water,N,P,Cu,Cr,Zn,Fe,Ni,NH3N,HW17,HWsum
3340,202111,4,1,1,0,0,0,0,0,0,0,1,0,248.680886,7.443790067,0.053930811,9263.21,76.20225592,1.201009797,1.365633996,0.246754037,0.088482985,0,0.212552847,2.222357783,59.66,453.96
3340,202204,3,0,0,1,0,0,0,0,0,0,1,0,87.85904043,7.443790067,0.019053774,3272.6952,26.92228258,0.424317164,0.482478949,0.087178284,0.031261068,0,0.075094992,0.78515975,8,152.78
3340,202207,3,0,0,1,0,0,0,0,0,0,1,0,12.84593298,7.443790067,0.002785866,478.5031,3.936326142,0.062039715,0.070543591,0.012746399,0.004570703,0,0.010979692,0.114798767,48.285,165.545
3340,202110,3,0,0,1,0,0,0,0,0,0,1,0,21.48003532,7.443790067,0.004658322,800.1181,6.582038432,0.103738302,0.117957865,0.021313602,0.007642797,0,0.018359443,0.191958153,0,171.74
3340,202211,3,0,0,1,0,0,0,0,0,0,1,0,5.947768038,7.443790067,0.001289878,221.5507,1.822549974,0.028724876,0.032662238,0.005901683,0.002116272,0,0.005083684,0.053152732,22,226.34
3340,202206,3,0,0,1,0,0,0,0,0,0,1,0,19.70501809,7.443790067,0.004273379,733.9998,6.038127237,0.095165817,0.108210337,0.019552338,0.00701123,0,0.016842298,0.176095562,16.8,277.58
3340,202209,2,0,0,0,0,0,0,0,0,0,1,0,3.677931889,7.443790067,0.000797624,137.0007,1.127013465,0.017762653,0.020197406,0.003649434,0.001308643,0,0.003143607,0.03286815,0.85,0.85
3340,202211,2,0,0,0,0,0,0,0,0,0,1,0,0.870983514,7.443790067,0.000188888,32.4436,0.266891878,0.004206434,0.004783016,0.000864235,0.000309904,0,0.000744448,0.007783618,1.2,1.2
3340,202208,2,0,0,0,0,0,0,0,0,0,1,0,2.865878208,7.443790067,0.000621516,106.7522,0.878179213,0.013840822,0.015738004,0.002843673,0.001019706,0,0.002449527,0.025611163,1.246,1.246
3340,202206,3,0,1,1,0,0,0,0,0,1,1,1,36.37167726,7.443790067,0.007887836,1354.8226,11.14522271,0.175657814,0.199735491,0.036089859,0.012941383,0,0.031087647,0.325038572,31.244,169.983
3340,202112,3,0,1,1,0,0,0,0,0,1,1,1,41.51421321,7.443790067,0.009003085,1546.3789,12.72102875,0.200493804,0.227975788,0.041192549,0.014771145,0,0.035483082,0.37099528,29.645,193.25
