industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu,Ni,Zn,HWsum
3360,1,0,1,1,0,0,0,0,0,1,1,0,6.51394,8.20483871,495,4.77761194,0.017749222,0.16,0.001618921,0.008282717,0.301939692,0.018536913,0.007513699,0.056056752,110.807
3360,4,1,0,1,1,0,0,0,0,0,0,1,52.1939,7.998709677,2292.7613,10.51602342,0.16587333,1.066111263,0.007498586,0.038364227,1.398536647,0.085860035,0.034802259,0.259645964,77.278
2669,3,0,1,0,0,1,0,1,0,1,1,0,17.868422,7.861333333,303.771375,8.538276,0.06581,0.13592,0,0,0,0.002979311,0.007392224,0,0.082
3360,1,1,0,1,1,0,0,0,0,0,0,1,3.050494,7.576333333,215.145815,0.986791966,0.015565054,1.236481,0.000703645,0.003599984,0.131234467,0.008056847,0.003265739,0.024364395,18.5795
2614,4,0,0,0,0,0,1,0,0,0,0,0,4671.079,7.452580645,26499.875,171.2032301,8.723540245,52.635,0,0,0,0,0,0,54.95
3360,3,1,0,1,1,0,0,0,0,0,0,1,259.6997806,7.473833334,11168.66,51.22639246,0.808013825,5.19331612,0.03652764,0.186882519,6.812650017,0.418247435,0.169531209,1.264805671,97.3
3360,1,1,0,1,1,0,0,0,0,0,0,1,23.257,7.287777778,592.595,14.27,0.273,0.275550797,0.00193811,0.009915751,0.361470609,0.022191681,0.008995112,0.067108992,13.713
2669,2,0,0,0,0,0,0,1,0,0,0,0,116.690319,8.035375,3856.028,59.87662512,2.53112395,12.15281475,0,0,0,0.037818919,0.093835778,0,20.236
3360,4,1,0,1,1,0,0,0,0,0,0,1,326.111,6.807741935,1420.87,6.516989885,0.102795018,0.660690457,0.004647024,0.023775078,0.866701111,0.053209179,0.021567655,0.160907793,24.49
3360,2,1,0,1,1,0,0,0,0,0,0,1,68.79722187,7.400258065,2958.6963,13.5704138,0.214051418,1.375764433,0.009676559,0.049507158,1.804743129,0.110798175,0.044910612,0.335060415,43.71
2631,2,0,0,0,0,0,0,0,0,1,0,0,24.9358,7.616774194,1224.2032,24.05745126,1.168717253,1.0938,0,0,0,0,0,0,46.3086
3360,2,1,0,1,1,0,0,0,0,0,0,1,15.46178047,7.136,664.95,3.04987256,0.048106827,0.309195154,1.00E-06,0.011126449,0.405605653,0.024901253,6.42E-05,0.075302904,92.79
3360,1,0,1,0,0,0,0,0,0,1,0,1,474.807,7.294666667,1209.059,15.902,1.48,0.518,0.003954286,0.020230895,0.737500812,0.045277216,0.018352536,0.136921052,9.206
2669,4,0,0,0,0,1,0,0,0,0,1,0,2693.72023,7.641,22753,353.3098959,14.93522953,71.70928064,0,0,0,0.223155503,0.553690342,0,19.699
3360,1,1,0,1,1,0,0,0,0,0,0,1,19.78791666,7.473833334,851,3.903213096,0.061566899,0.395706559,0.002783236,0.01423958,0.519092278,0.031868511,0.01291749,0.096372316,27.307
3982,5,0,0,1,1,0,0,0,0,0,1,0,2791.62,7.725,39570.41,274.4659479,29.49495314,9.59,0,0,0,2.386659418,0.302549862,0,129.963
3360,3,1,0,1,1,0,0,0,0,0,0,1,78.28626412,7.242275043,1112,5.100320756,0.080449344,0.51706897,0.003636849,0.01860683,0.678296843,0.04164252,0.016879259,0.125929512,17.563
2631,4,0,0,0,0,1,1,1,1,0,0,0,3284.546,7.24559322,19907.9,391.2204559,19.00559172,37.556,0,0,0,0,0,0,8.312
2631,2,0,0,0,0,0,0,0,0,1,0,0,19.7,7.621290323,483.58,9.503081091,0.461662157,0.47,0,0,0,0,0,0,19.26
2669,1,0,0,0,0,0,1,0,0,1,0,0,54.70505,7.937741935,1514.9894,23.52484276,0.994449717,4.774702239,0,0,0,0.014858622,0.036867006,0,0.377
3360,3,1,0,1,1,0,0,0,0,0,0,1,1.633468105,7.473833334,70.249,0.322205425,0.005082272,0.032665088,0.000103301,0.00117546,0.042850427,0.002630706,0.001,0.007955416,26.695
3360,1,1,0,1,1,0,0,0,0,0,0,1,21.93970727,7.473833334,943.54,4.327658854,0.068261847,0.438736741,0.003085893,0.015788029,0.575539751,0.035333978,0.014322173,0.106852097,35.394
2631,2,0,0,0,0,1,1,1,0,1,1,0,117.262,7.219,1932.646,37.97942772,1.845050499,8.694410543,0,0,0,0,0,0,0.5077
3360,2,1,0,1,1,0,0,0,0,0,0,1,27.03003,7.640714286,1491.638,6.841575766,0.35387,0.693596875,0.004878474,0.024959222,0.909868117,0.055859321,0.022641856,0.168921984,11.294
3360,4,1,0,1,1,0,0,0,0,0,0,1,791.661,7.272903226,40072.957,183.7994014,2.899139489,15.278,0.131060533,0.259,24.44366926,2.177,1.002,4.461,70.623
3360,2,0,1,0,0,0,0,0,0,1,0,1,5.688502858,7.405,244.64,1.122070566,0.017698856,0.113755173,0.000800107,0.004093503,0.149225305,0.009161354,0.003713437,0.027704493,8.477
2614,3,0,0,0,0,0,1,1,0,1,1,0,42.295,7.538903226,1033.507,6.677002694,0.340221979,2.018321069,0,0,0,0,0,0,36.764
2614,4,0,0,0,0,1,0,0,0,0,0,0,615.8248,8.334827586,7758,50.12078961,2.553869602,14.36966565,0,0,0,0,0,0,44.613
2614,2,0,0,0,0,0,1,0,1,0,0,0,101.5164,7.487419355,1350,8.721715129,0.444408863,2.636395731,0,0,0,0,0,0,19.852
2631,2,0,0,0,0,0,0,1,0,0,0,0,7.9036,7.544056055,508,9.982971161,0.484975341,1.870331604,0,0,0,0,0,0,1.977
3360,4,1,0,1,1,0,0,0,0,0,0,1,16.475,7.473833334,847.144,3.885527092,0.061287931,0.125,0.002770625,0.014175058,0.516740199,0.031724111,0.01285896,0.095935639,33.42
2614,4,0,0,0,0,1,1,0,0,0,1,0,1375.146,6.835,22972.827,172.6793382,1.354,28.124,0,0,0,0,0,0,112.581
3130,1,0,0,0,0,0,0,0,0,0,1,0,0.00059408,7.485,0.019812,0.000107869,7.04E-07,5.58E-06,6.41E-07,4.43E-07,0,4.93E-07,5.13E-07,1.37E-06,11.049
3360,5,0,1,1,0,0,0,0,0,1,1,0,179.078409,7.306129032,4393,20.14901896,0.317818318,1.397782,0.014367518,0.073507019,2.679638517,0.164510423,0.06668218,0.497489521,135.949
3360,4,1,0,1,1,0,0,0,0,0,0,1,712.558,7.392258065,37875.655,173.7212134,2.740172308,19.483,0.123874151,4.451,23.1033608,2.469,0.406,4.006,99.472
3340,5,0,0,1,0,0,0,0,0,1,1,0,120.58,8.233225806,9398.01,77.31116569,1.54,1.28,0.054715622,0.250344849,0,1.385506963,0.215645957,0.089770607,115.555
3130,2,0,1,0,0,0,0,0,0,0,1,0,0.062428769,7.485,2.081941,0.011335447,7.40E-05,0.00058635,6.73E-05,4.65E-05,0,5.18E-05,5.39E-05,0.000143646,11.04
2631,4,0,0,0,0,1,0,0,0,0,0,0,1619.4095,8.2308148,10544.8853,259.5566681,17.71466433,19.0357,0,0,0,0,0,0,16.91
2614,3,0,0,0,0,0,1,1,0,0,0,1,363.1,7.871290323,8385.71,54.17612872,2.760506556,1.31,0,0,0,0,0,0,27.025
