"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HWsum"
"448","3","0","0","0","0","0","0","0","0","1","1","0",369.9,7.234516129,0.160977405,27649.64,227.4551633,3.584879165,4.076263884,0.736533048,0.264111759,0.634446343,6.63348803,201.481
"432","3","0","0","0","0","0","0","0","0","1","1","0",112.6443,7.301718484,0.026106525,4484.0828,36.88756113,0.581378094,0.661068454,0.119447312,0.042832348,0.102891391,1.075786505,112.993
"417","4","1","0","1","0","0","0","0","0","0","1","0",0.2017,7.443790067,5.82e-06,1,0.008226334,0.000129654,0.000147426,2.66e-05,9.55e-06,2.29e-05,0.000239912,167.221
"482","5","0","0","1","0","0","0","0","0","1","1","0",122.06,8.140666667,0.056690285,9737.18,80.10129127,0.36,1.435509293,0.259379683,0.093010388,0.223428524,2.3,91.683
"129","3","1","0","1","0","0","0","0","0","0","1","0",51.50628429,7.443790067,0.011170041,1918.5774,15.78285778,0.248750731,0.282847363,0.051107199,0.018326418,0.044023518,0.460290268,176.45
"568","2","0","0","1","0","0","0","0","0","0","0","0",5.449754443,7.443790067,0.001181875,203,1.669945726,0.026319709,0.02992739,0.005407528,0.001939074,0.004658021,0.048702192,0.753
"61","5","0","0","0","0","0","0","0","0","0","1","0",4235.929296,7.443790067,0.064955199,11156.77,91.77931222,1.446516928,1.644793155,0.297194821,0.106570435,0.256002318,2.67664607,93.318
"560","2","0","1","1","0","0","0","0","0","0","1","0",5.954943995,7.443790067,0.001291434,221.818,1.824748873,0.028759533,0.032701645,0.005908803,0.002118825,0.005089817,0.053216861,101.002
"557","2","0","1","1","0","0","0","0","0","0","1","0",2.005939172,7.443790067,0.000435023,74.72,0.614671649,0.009687727,0.011015638,0.001990397,0.000713732,0.001714519,0.017926245,87.716
"391","2","0","0","0","0","0","0","0","0","1","1","0",31.984607,7.443790067,0.008779641,1508,12.40531111,0.195517836,0.222317757,0.04017021,0.014404547,0.034602443,0.36178771,85.29
"571","2","0","0","1","0","0","0","0","0","0","0","0",49.55786553,7.443790067,0.010747492,1846,15.18581188,0.239340799,0.272147599,0.049173877,0.017633152,0.042358163,0.442878059,1.967
"127","3","1","0","1","0","0","0","0","0","0","1","0",41.78985803,7.443790067,0.009062864,1556.6465,12.80549345,0.201825037,0.229489495,0.041466059,0.014869222,0.035718681,0.373458603,152.28
"570","2","0","0","1","0","0","0","0","0","0","0","0",8.724976325,7.443790067,0.001892164,325,2.673558429,0.042137465,0.04791331,0.008657373,0.003104428,0.007457423,0.077971489,1.236
"138","3","0","0","1","0","0","0","0","0","0","0","0",32.02240811,7.3405,0.006944621,1192.815,9.812494146,0.154652923,0.175851429,0.03177429,0.011393872,0.027370234,0.28617096,68.9578
"551","1","0","0","1","0","0","0","0","0","0","1","0",31.54414518,7.607931034,0.006840901,1175,9.665942012,0.152343142,0.173225042,0.031299732,0.011223702,0.026961452,0.281896923,65.31
"353","3","0","1","1","0","0","0","0","0","1","1","1",66.17732392,7.443790067,0.014351713,2465.0646,20.27844381,0.319604838,0.363413549,0.065664564,0.023546511,0.056563168,0.591399256,211.657
"451","3","0","0","0","0","0","0","0","0","1","1","0",167.9328,7.273870968,0.033187802,5700.37,46.89314542,0.739074275,0.840380285,0.151846855,0.054450429,0.130800217,1.367588734,242.522
"460","2","1","1","1","0","0","0","0","0","0","1","0",123.57,8.168064516,0.028985153,4978.5188,40.95495662,0.4761,0.733960962,0.132618133,0.047555243,0.114236679,1.19440777,59.94
"320","2","1","0","0","1","0","0","0","0","0","1","0",4.63887662,7.443790067,0.001006022,172.7953,1.421471787,0.022403556,0.025474445,0.004602933,0.001650556,0.003964947,0.041455713,29.599
"574","4","0","0","0","0","0","0","0","0","0","1","0",71.09493264,7.443790067,0.015763415,2707.54,33.46475963,0.35104268,0.399160623,0.07212364,0.025862657,0.062126988,0.649572081,80.55
"561","2","0","1","1","0","0","0","0","0","0","1","0",13.75644198,7.443790067,0.002983326,512.419,4.215329651,0.066437038,0.075543662,0.013649853,0.004894671,0.011757924,0.122935608,101.67
"404","3","0","0","0","0","0","0","0","0","1","1","0",29.93338032,7.443790067,0.006491578,1115,9.172361995,0.144563917,0.164379508,0.029701448,0.010650577,0.025584697,0.267502186,215.815
"150","5","1","0","1","0","0","0","0","0","1","1","0",375.79,7.464285714,0.088870989,15264.57,125.5714455,1.979108551,2.250387903,0.406618685,0.145808497,0.350259555,3.662157713,268.95
"442","3","0","0","0","0","0","0","0","0","1","1","0",84.63,7.212,0.032116487,5516.36,45.37941777,0.715216691,0.813252507,0.146945184,0.052692749,0.126577938,1.323442476,166.349
"32","4","0","1","1","0","0","0","0","0","0","1","0",60.70548589,7.443790067,0.013165049,2261.242,18.6017311,0.293178477,0.315,0.060235123,0.02159958,0.051886271,0.542499712,14.74
"53","2","0","0","1","0","0","0","0","0","0","1","0",33.74552382,8.572075742,0.007318309,1257,10.34050137,0.162974748,0.185313939,0.033484054,0.012006973,0.028843018,0.301569729,23.66
"82","2","1","0","1","0","0","0","0","0","0","0","0",183.02,7.218333333,0.029748371,5109.61,42.03335657,0.662480033,1.269824011,0.136110149,0.048807438,0.117244687,1.225858158,233.2205
"400","3","0","0","0","0","0","0","0","0","1","1","0",16.08080252,7.443790067,0.003487404,599,4.927573843,0.077662589,0.088307915,0.015956204,0.0057217,0.013744604,0.143707453,70.204
"7","4","0","0","1","0","0","0","0","0","0","1","0",717.25,6.958387097,0.101773336,17480.69,143.801988,2.266436792,2.577100653,0.465651845,0.166977067,0.401110461,4.193832103,267.037
"390","2","0","0","0","0","0","0","0","0","1","1","0",28.371954,7.443790067,0.004977847,855,7.033515251,0.110853946,0.126048861,0.02277555,0.008167034,0.019618759,0.205124995,85.046
"455","2","0","0","1","0","0","0","0","0","0","1","0",135.4140487,7.020645161,0.029366911,5044.09,41.49436719,0.653985121,0.743627834,0.134364823,0.048181585,0.11574127,1.210139106,5.336
"83","2","1","0","1","0","0","0","0","0","0","0","0",361.74,7.348387097,0.14846071,25499.76,209.7695332,3.306139188,4.69,0.679264394,0.243575919,0.585115375,6.117705428,248.5165
"398","2","0","0","0","0","0","0","0","0","1","1","0",52.074487,7.443790067,0.010153644,1744,14.34672585,0.226116118,0.257110191,0.046456794,0.016658839,0.040017679,0.418407007,128.451
"473","2","0","1","0","0","0","0","0","0","0","0","0",163.1,7.272258065,0.030111609,5172,42.54659752,0.67056913,0.762485038,0.137772098,0.049403393,0.118676282,1.240826285,85.602
"607","4","0","1","1","0","0","0","0","0","0","1","0",285.51,7.781935484,0.01403718,2411.04,19.83401943,0.312600347,0.00444651,0.064225452,0.021324001,0.055323524,0.578438091,174.327
